	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
K00001	26553.26985831136	8497.578499621135	8759.86593572958	39802.894517451	8869.715773419832	12108.90349764717	1121.578227013924	5710.48729885908	2755.533662771685	4241.530944006667	1088.6819816285029	12857.290485808593	4877.808012747391	7680.313710720218	929.4016144432918
K00002	1265.349264710313	473.2776005626755	576.9771816089554	2422.5810651494076	732.0464663024534	805.8358470595513	106.08530547780305	343.98590710434723	335.32327339536783	106.11741696067341	39.39300764354512	1587.4982840695284	181.4270454531835	438.27594041992705	45.607798906638735
K00003	42003.17362604735	203220.45428556015	95489.47431492634	68808.58903640376	48030.49185713283	127935.30082500438	13629.618606962249	7645.853144217088	6661.795729693911	103639.53349147736	1120.371931953876	28426.107599644838	4978.478139060317	14311.536633722273	1714.4531399253974
K00004	13454.563396405152	5219.7584177875815	5630.444008471295	15367.292197831497	8193.85000725222	7392.8603640647725	1079.1800512768468	2752.628535742564	3020.6205240613886	1828.3090033435246	336.44155608816715	10120.293682442067	1630.2616459268122	2855.044831365181	125.61629871915649
K00005	19632.656270514184	106601.30516164974	50123.11950099823	38315.64987709218	25447.9596216404	66808.2386360047	7246.916743749074	2532.0736629180383	3441.576765066452	53876.845701584774	753.2273023519654	15954.681383787742	2401.9806121826323	5606.41255777711	759.2994936405186
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0049005959475341	0.0	0.0	0.0	0.0
K00007	37.505626441431296	221.17319581201394	72.00377532480317	31.259366801166184	30.004508682654293	74.25734994151058	30.33058255827557	658.5005802396236	50.67101129578148	327.0039583972763	0.0002864041503156875	153.00434868062933	76.75050576041671	38.25267384787819	33.670413328833625
K00008	51659.46153625015	29736.986066828984	31910.900642414475	114008.75227218651	34514.33993822217	42214.05047120297	4016.6862130664	12117.54735661166	10168.940379162868	8677.002999141063	2166.8750794589664	48413.915349843504	8063.642552688678	19278.670791805263	2203.0209044576472
K00009	9519.9386701107	50096.96931261853	22100.210447042813	14330.964609388648	12267.34546100564	33312.972715428616	3767.4445527950656	1302.1339109963437	1035.0036909696162	27605.29216429237	337.1292313484261	5138.5947363066225	841.0144537230301	572.9134235545523	56.196416231098816
K00010	27518.941478173118	12321.800834813108	14760.744914648827	24476.071130143264	17144.159034815	11387.98715557449	1370.2457401384079	8653.607884301084	5395.936063936195	3373.335012931073	594.082179368602	30387.870771131034	3401.6771175226722	10679.44580156061	831.7607927050663
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6222777503158306e-05	0.0	0.0	0.0	0.08139126744173283
K00012	31148.673909252735	60494.561566384094	31223.449387604283	58620.33698654492	19242.65999253364	47193.19435089144	4456.821229757028	6206.952448979175	5957.415303245577	32154.28748737565	1228.5870238608686	18297.05398387416	5860.24860921897	13230.13691744511	1569.2165364430607
K00013	39177.17818690591	78741.31839419392	43298.919082714	68256.06142462249	24978.093006860458	53844.185457357555	5511.196305270133	6608.842443109706	6442.7612682703275	37749.19903288352	1565.6811150714075	27027.246369775752	6559.47024038749	12583.178345176315	1552.5582443614069
K00014	48031.57184030303	161646.24995451118	82671.53083490669	90613.12785012143	41686.744495459	104073.62307767195	10668.988018796625	9158.974166568365	7286.63368000982	78291.47715484828	1684.1127129055117	32975.20374053218	7389.096121500468	16088.769579362079	2014.8914617789878
K00015	370.5134273669586	484.96295457146107	255.71906274897253	1327.6355325328923	274.85420255440005	359.9499758856272	69.97389166991164	778.9823628435954	138.14399719513975	643.3122709643046	62.91064284179809	1450.1147306397156	297.0799126654196	761.035765368701	91.22244122084163
K00016	31576.441923078888	139984.82928162612	69309.46410817844	57564.40962463007	39783.15215854417	101248.312067708	10019.11247315746	5844.900903603993	5774.083925421588	70887.24145177782	897.1403206171383	26060.171106942365	4067.508763498309	13144.681459479016	1710.0028819554618
K00018	26784.757832094157	79397.62925266346	42844.856982917496	48316.42060210657	18637.225086343213	46189.20194433072	4687.514528735742	4641.415417803123	4592.194082795981	35562.33210559902	1161.543235635848	25407.20056254983	4514.679128339218	11742.720098882712	1466.632406778418
K00019	1733.1378905823412	1614.2246549299807	1018.0520955661946	1401.484746623632	595.044222825252	1189.1285555607164	143.98197678919976	1320.0947020151443	221.23794965608698	946.5338607420742	109.79640204404984	869.2630099913224	428.8973102456828	1706.4473532135953	88.09712654952804
K00020	14972.462705852242	64593.45539171514	27824.1719808685	19062.059118174562	15426.685982263905	41435.321843058664	4720.529710762197	4706.074118380358	2160.1737346039763	36847.69885619958	286.51387349003494	11599.650207731263	1583.0042126454055	8802.108681092684	1243.2515013532243
K00021	30.10295115616105	1.0162741627783516	1.8931001833725092	3.5599348313048957	2.875741962948864	2.615397098854343	0.3816038651813861	2.4969193589833387	0.9838082532080649	3.2921850002362936	0.8584685629678734	7.560373823168115	6.187392745350863	1.2477630485369877	1.2110802795179776
K00022	0.4429866532684599	0.22215806229554116	0.26936592394488074	0.7517244094886626	0.3466590572870255	0.5581409834497011	0.0395631167407364	0.04097383596230993	0.06406176750824111	0.3070959405462891	0.0	0.3395928654718224	0.020719938566861308	0.20441573434747246	0.029196849603638005
K00023	191.33304483019862	647.6361120199133	502.7655403299507	907.1450966749578	151.0993407496885	283.4116710391876	66.85734994612618	1204.2490367175892	127.21946171331243	782.5106508356334	164.35386152477537	685.9287790256153	358.2959958315946	304.3465984692399	62.04038847007956
K00024	23572.13752985611	4428.328238001611	3851.3023470947633	27425.619013550866	1219.726768907895	2571.524922440281	227.21025076426977	2980.154086912432	727.6814689816705	1923.3397752806081	1123.2162259302795	3481.2752860579476	5102.596989303443	3754.5398498988743	372.9372059681427
K00027	28923.12960391002	89839.83265813763	51200.66871631326	62350.63753594809	27612.449907757626	60992.81682460052	5965.559152639888	5648.772594386719	6030.046198406021	38379.44209609557	1086.6311483781851	26753.96161413577	4838.532911225702	13318.617543767426	1489.0392882242786
K00028	9.87740011302004e-11	4.953521857681051e-11	6.006129051487497e-11	1.6761414170064127e-10	7.729556153357096e-11	1.244502915004577e-10	8.821501299939922e-12	9.13605339977859e-12	1.4284035533745437e-11	6.847406023363105e-11	0.0	7.57199925334862e-11	4.619983966380505e-12	4.5579160966801946e-11	6.510105066303957e-12
K00029	16647.134961305663	2684.612272144118	2826.94192316496	20691.6755779325	727.7452434630341	1526.004758550405	116.47883737541824	3178.2988781906133	604.1488609920051	2223.675599178799	801.148799873946	2281.001710503064	3320.590858046541	2262.1040793622437	389.3759863658311
K00030	8292.538435706174	12615.784094753606	11736.855162145028	7615.96291023782	5966.642915667476	6610.534028664765	594.031551989922	1993.7878653878327	1492.136625077252	1504.5482416287884	181.1328398911461	5931.006659984803	1167.7593607406802	3799.6973375386597	560.3290678336815
K00031	22492.284548347827	72654.63899923206	36921.78124005825	51251.336051508566	18741.159938619418	47199.4569225312	4936.3568710511745	4727.045910387688	4799.688081682405	36745.97841434407	855.0072296991921	19032.22695189839	3497.245594858591	7948.252178638397	967.6385962855868
K00032	10.380000000419592	27.32000785274355	84.43000000025515	11.750000000712026	28.690000000328354	14.750000000528665	3.7473842421187555e-11	103.01000000003881	3.280000000060679	35.82910176634647	0.0	24.590004010923302	1.9625746826760115e-11	12.840000000193621	11.750000012098287
K00033	13231.342897599536	8465.020375590142	7374.457128994312	16965.310370288636	6624.877832557576	10581.966716890422	909.0578820074995	3293.2222332091833	1948.9197876921125	2917.891379415235	521.1230456484034	7200.570060546106	2924.3450364824193	4332.031685212065	326.8145900497485
K00034	6073.368291748273	2466.591555949716	3020.688799680108	8339.042487335671	5190.774239841687	5573.8393071026385	591.9735406908908	2045.7064353430605	1810.789642562066	1207.1189275311092	297.3793295646298	6516.046764664005	1161.1920259228282	2256.4877402126435	187.94042915333273
K00035	6.0	20.45	7.174951830443158	0.0	0.0	3.2	1.8	18.157461500195122	8.0	43.191104028234015	0.0	0.0	22.0	1.0	0.0
K00036	12144.423254922414	8194.499808630537	6945.342888287942	14992.457323518494	5994.585357238893	9876.208339598894	851.2062991952315	3759.3557975337317	1182.7535736044729	3089.9083088206753	562.9868727660539	6136.138572865271	2800.3475547760663	3487.3607207967034	334.94139385599794
K00038	314.7955279628553	275.7032771307215	116.92078782476247	41.84171115488001	72.39180075748783	186.6524090594814	69.40160501769313	28.084366907858534	9.748437548618924	17.548477553432942	0.07138927962997631	78.15341722675556	40.69022877787016	492.866744965018	17.56083227140577
K00039	0.0002326285708407544	51.00049081175122	4.200495520831599	0.00021379224931518726	0.00028775620517224764	22.200554007609934	16.8001008371079	631.4000813415151	49.96251624131679	306.5946446630594	0.000779151391608119	106.00021379224931	75.26258297123087	18.000184878495773	24.000057827507085
K00040	7788.453342842202	4166.245357498719	4818.6183601921575	19928.420018553836	5781.36656874449	5397.314292680298	481.2633632273185	3080.403523204279	2030.3006645118867	1695.3180631433083	265.11234922259825	10615.495185855756	1571.2580230996869	4325.405894013188	498.98532606833885
K00041	7950.676926783317	3051.4803837976224	3160.8917419873437	18938.679135310467	3323.1943598283365	3983.696829496783	423.2663812682814	2500.62930459788	1620.3283829528696	1070.7189798269571	387.1145207057448	8798.932492704942	1932.0957950531956	6254.6710594574615	878.631213761271
K00042	12132.772365844836	62321.42640125011	27030.67543469547	26736.104436696365	15625.574141789777	40459.645501231964	4696.130624109213	4751.918581782931	2396.3405351776214	35108.25882289106	521.8723020572163	12149.971303481256	1883.4701111444574	9408.964330334253	1364.4652222758332
K00045	10.826717768807619	50.470075466141	90.12827379705978	12.781701389138291	29.334267290637214	18.76354624256778	13.410989270229024	121.06745012943693	11.726826833505138	79.682762784822	0.17189461118294888	26.96179469325243	35.02195327270951	37.01572514060084	17.87044166606161
K00046	15815.003910579158	6711.208913948376	6920.299164712438	40777.4545686311	8213.148191277092	8767.204476271063	953.6931567033575	6742.522040087391	6856.028301502176	3421.761975616875	830.1029384022902	19123.017587316383	3776.8151686871893	17224.51304522671	2658.7741204229396
K00048	9916.46719400891	17903.428444270317	15682.46781093202	27468.531762542632	3695.5053826361136	6494.869167128192	526.5793764612436	1829.0318219402836	1342.7135569052764	1929.3061616576147	570.0241500281777	7216.486976393731	2372.2886638722534	6075.59933510388	938.4468134497482
K00049	0.0007754814206512994	0.0003960470784262239	0.00047269909600234776	0.0013381106998963854	0.0006061004527061812	0.0009754507555557477	8.438391634536308e-05	0.0001216897736950532	0.00012168895767739887	0.0005366513947055384	0.0	0.0010854394015984057	3.622368675142698e-05	0.0005550673718397814	8.798267510057207e-05
K00050	2578.710833263878	1477.1439274665477	1428.45939952749	6410.400508717536	1586.1601104114056	1801.2882475184206	216.1717485780424	2597.9796135563315	998.9072274337598	1178.942573639421	206.6041220052619	4893.633785861706	892.3362036410049	2613.398776135422	433.1751679420776
K00051	0.006815609430478582	1.9952985787318571	0.6952498683373677	0.37692723549310475	0.5335670680178942	0.5368208414661354	0.0006087017510974004	0.0006304064935752447	3.1098775246832946	0.0047248511281457245	0.0	0.005224835374510352	0.0003187884051433377	0.6792096640644889	0.0004492106523539555
K00052	38758.333396060014	79937.45850401872	44292.403931125475	69706.24567395574	25117.461780680533	55350.773162664555	5595.799026682853	6910.204004101135	6397.175208281529	38115.11050621615	1534.442130434004	26848.83077130301	6448.223920129765	12928.523951780968	1578.9819093912636
K00053	37419.139416483	78324.90989078165	42712.405429567785	67908.92658064645	23726.178563555404	52697.37292882944	5428.767058512506	5895.472126076376	5836.311949296263	37105.00450878493	1410.599748839191	24674.191327350673	6060.446110418276	10995.5354842556	1302.975103174811
K00054	1669.896076897227	4894.952553457094	3396.2498803555586	786.2835999942122	2667.654941249635	7452.565772424403	522.3611600919828	1004.7482244948676	205.1465969762467	1743.972187490938	36.73478458329528	754.556747856321	382.3664177933408	1068.6545215671492	35.65547060354964
K00055	2293.832542361796	1390.4972425249061	1314.6950958947948	2257.326210207192	2715.6181748225417	3659.6304585831904	186.8354366404182	338.7920114316695	2266.702378201903	262.8630188911519	59.0204196468799	2231.072005341231	269.2587286886527	458.3108642843378	41.37410185398673
K00057	37453.24966670845	91173.73494177837	53218.88527654353	66072.15962887288	26283.166271896505	61435.538437311785	5779.139560980735	6403.42658512824	6068.869691969446	39333.98593336892	1481.9876022161923	24408.10710238143	6431.879584837626	12541.141255606026	1584.3772621069284
K00058	60305.47732951987	104633.52565791359	68000.64738366251	121125.91915832105	37150.92102886119	67554.29112798348	7113.143970535137	15006.332408871234	11770.051287396916	42583.79534925829	2456.857955599315	57377.76986767207	10334.241459846759	26097.14269464839	3092.5950181706316
K00059	107186.0605607238	194182.136861938	117296.60456669814	197216.40622270494	71414.0537490396	139338.83287746797	13834.781722369667	25947.300603026903	25634.45589301032	84025.70937544203	3969.1731910474973	82846.9392337185	17390.832762413742	47916.99906157602	5525.560752889345
K00060	7570.436612674503	3703.2118596681466	4146.9971084988665	19789.372036589884	4181.997240968003	5375.357899092652	368.8276875629183	1242.2790351858039	1209.4546178331525	1434.7231543099776	304.5446741998355	5634.047448185165	1116.5635691701818	2223.2896217084826	297.76116230299647
K00062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8185315649576347e-07	0.0	0.0	0.0	0.0
K00064	1007.2403882734533	506.4361713919586	595.829731317236	1440.5343324437392	727.6587226413824	795.2531808155187	149.94752639305486	264.5746189865308	163.998486881075	293.6527734002449	90.9323114120773	576.2357418118517	229.7549157436502	625.2968592088233	29.90463186274088
K00065	14564.069705997017	6331.024289208692	6478.960824412908	23437.61396041565	8765.155346038086	8825.201910854796	1185.9899903562634	3907.4387496285044	4710.638925737079	2493.9290977856444	512.7692533372822	14914.86425093114	2095.940901722932	4573.588166308866	417.3562633790939
K00066	2818.2001872999117	1974.5276492611297	1008.0912592282614	391.80661936325293	499.48296259985636	1155.5029584668098	103.11249332071806	367.78955339070046	122.99156083237763	62.213742871406424	4.8997794131721255	85.99448774088441	461.82126189512843	1503.2801158074305	44.68196715390591
K00067	34808.25787365748	89816.68120557028	45857.80646250191	74774.6014218482	23807.10380210352	58873.80129092658	5889.470323060366	6725.130543923284	5206.258869091922	44219.39329931879	1338.4021966684745	20474.48028548903	5607.655673311015	15707.043211249886	2193.0256865060737
K00068	8068.726984217078	6030.307631827199	5776.4088376387335	11344.105231589083	5544.26045133572	8182.794250966251	973.6875878320704	1187.0355721180106	1100.4193506637557	1820.8264221071363	297.11048403360843	6095.371208795952	922.4237086204338	444.0257695729783	44.88060696407338
K00069	0.026437244719034515	10.000210149216763	4.16127638707261	68.04274597560884	8.2521243307702	0.0021497090847155307	0.2938413447696042	49.524619580097614	0.1877413991391436	41.68792311741144	6.642556796551126	9.481254577385855	24.73810693587162	3.8127748672333808	0.7122733813116682
K00073	393.2632418154431	462.4099401355486	407.1289473879241	1473.7639089561908	346.9514410462175	488.47130779591	142.6165404059349	407.7565194628437	299.11047734521367	225.57698879641188	60.90283873314017	1286.2652697328208	222.59295939754892	663.1561699514585	73.34503958660825
K00074	29743.86253609215	71028.8728561615	36383.889787261236	52585.057867425305	28328.066223933773	54983.733595728096	5452.579242484138	6896.0304997178855	11081.365898243064	37448.07966298139	1103.1344096181913	27763.125835293802	4527.080897222235	6986.735703082644	695.025488925321
K00075	38366.082350015495	90777.99194890162	52797.39005826046	65759.63283109525	27674.1600025524	62546.49573413092	6077.232301361816	6914.834313963253	6366.695651708273	39145.808051217355	1517.936961739024	27663.400863848812	6936.954761144012	12531.125870622756	1486.3424278262446
K00076	1736.3251148780191	3188.6812083468794	3204.8907072592274	10488.186985966586	2126.84603885005	4600.669298363886	168.57642448179922	646.9776699860254	932.7679081866397	303.85660720685746	133.00332302125005	3357.3944968104124	473.30949571553435	2714.020445650269	375.55203326336186
K00077	26487.0369197052	17361.25847719492	14921.75352359422	52077.09398865138	16079.18173294822	21103.643230445003	2040.4055566131333	7233.593770943207	14801.777558269128	6620.604547494415	813.278986893557	31488.019196331807	3558.669983510214	11109.777805906908	1492.741900029116
K00078	15.126545736449808	3.2697667188227215	5.584458453073468	61.96842064604454	5.718901797107462	1.1548088173825044	9.877252070322653	180.60524973506904	56.490611774763764	0.007225762802487375	0.0	662.0709492123568	4.628978841744532	430.31542977896163	38.421000817571475
K00079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0562437943301406e-10
K00081	0.002179826421910419	0.0010542495786878168	0.003177400282830201	0.006140115159386633	0.0021278463658190886	0.0043655194015795986	0.0014665396327813286	0.003062349359001418	0.0027573716620913186	0.008704593786988998	0.00032273104453651514	0.013635681034998544	0.0026123339415734938	0.0027976412501600923	0.00027199401549141296
