	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
1CMET2-PWY	35477.5300601382	88536.67513498427	49855.519922433436	68717.28169932283	24698.920987308884	59691.269128157	5722.284477082585	5809.303646748006	5259.146797756986	39588.76568677071	1404.8809044132609	22388.599720445505	6011.212842507016	9994.107509812893	1242.647046744016
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	149.93812734203593	720.7082645256816	339.07464075903533	209.16172155898755	129.59236483925278	315.56584365560707	95.25716879032686	1388.5328278353077	230.50345397000854	704.5626646652441	0.9376568856364481	629.547741460934	273.68778709859555	228.0158819576809	94.89073907927974
AEROBACTINSYN-PWY	64.6318981330363	136.93417055258504	139.9527478376704	62.41556851880081	79.27165185666658	152.31428854843267	26.70901432323345	26.739537603057837	61.4501721805911	78.6183436676487	12.770302293569044	64.13083000028472	68.02811515405983	53.9891384878944	17.0121881404642
ALL-CHORISMATE-PWY	976.571753968604	1480.2525490857813	1412.5170273958202	1466.7126708917222	734.9035055340968	1427.6314320699246	235.2705053759695	335.6895832445419	486.2154400515696	1229.907291137537	133.9747300579069	914.5571804824524	674.9109070946142	1004.1832047115787	189.72572414147496
ANAEROFRUCAT-PWY	33851.79724238702	59749.01240897535	44633.57846476732	59987.354647711916	21584.52206483097	52832.51266812385	3764.6118599469114	6591.798654112506	5123.536058119494	14723.617114054729	1315.396269534296	22080.950493313387	6231.849912808269	11886.472857891164	1123.440739544854
ANAGLYCOLYSIS-PWY	56198.138295134144	136574.6896775729	77811.93064058636	97871.78771140164	42372.9610272401	95803.77982594889	9444.408764945725	9719.187018298926	8276.195261859046	60583.03360529281	2051.1487855827677	37300.892469647704	8815.320479043794	17175.687184821585	2116.6793790360307
ARG+POLYAMINE-SYN	15622.960024646294	13525.464756135436	13056.494592930623	22951.724152357445	11484.497366251184	15935.252357352309	1514.027776969175	3919.1748964045355	3221.3302048704854	5635.028877298504	559.7253670154083	12409.306059817618	2674.0295136509853	3574.17030943414	437.6695956439208
ARGDEG-PWY	60.17099617779725	115.7667577644979	123.92395911430378	64.74762083548687	82.48379931071253	136.9281471816832	26.003697019393304	29.61593777145124	57.84139181982887	219.38352898753627	11.235179334259415	81.89666866616886	103.65231459741453	50.64855694572081	13.827649437356284
ARGORNPROST-PWY	7827.730283539894	10556.23686553676	7818.399943860386	10961.76316034699	5330.61380928387	9848.441676850489	701.821888391638	1472.5928154264288	2049.551441038773	1892.5256485765892	215.93040456548204	4969.734252665676	1269.3204252951173	3118.580587386539	159.80461329286402
ARGSYN-PWY	35937.034125171085	83283.86379490815	46463.582327779586	66658.72607137059	25574.89834256188	56296.096631070526	5617.770411840764	6649.396582949815	6270.819132972945	38881.58010671201	1293.9576925820163	26146.821249843637	5614.781551807195	11312.472840100974	1243.5961250085445
ARGSYNBSUB-PWY	35756.40385513586	85676.89532966347	47505.839927786576	67305.79889022403	25837.608707360112	57605.37160385606	5731.336471526313	6751.027765447269	6379.695432318171	40261.42432978641	1273.4607238062467	26092.23358175505	5573.147154386917	11615.660899588427	1273.469348246018
ARO-PWY	42732.570092855625	105960.08447600689	60855.6076391331	78130.5899274995	29732.131156726216	67373.64923126002	6682.262387033604	7431.03361154144	6924.90121026491	46449.57203797353	1604.1205106501448	28108.103968083517	7015.918952461895	14014.498175184484	1724.2871805258349
ASPASN-PWY	29731.867649799868	88329.4664032971	45866.04302013485	50557.659784732416	22486.149506586626	58563.975433152555	5745.346188982068	4854.994093604212	3886.387147950543	41368.57977815557	1252.7867535937162	19137.926928953257	5626.0329796573	10666.285425587912	1240.9913214259716
AST-PWY	139.67498403320454	413.72266861861675	369.60364421629805	128.25739468480984	175.08946342390183	284.5773557688111	57.13108545179807	255.20163634022825	102.82946202816227	341.77826595509435	75.57544734987253	179.64266341962366	136.45338492899336	109.87926651545129	49.424713879575975
BIOTIN-BIOSYNTHESIS-PWY	18968.596392853553	5490.904300128172	4912.877043472871	21671.024926758302	2052.5946704554785	3051.343760254635	385.65450639277145	3889.661494192567	1129.1743841233201	3045.2947251321725	885.113633293034	5709.908302129008	3978.792106208597	2451.467709275668	352.8251405210399
BRANCHED-CHAIN-AA-SYN-PWY	49303.20547726835	114668.94496081665	62797.724538871655	91021.06311255613	34156.33295250469	76977.69157749768	7878.490492757124	9113.310960734318	8203.017850883893	54158.965982996655	1864.4746716538598	33712.005426909374	8063.709237896782	16856.960859772993	2066.3232819066734
CALVIN-PWY	43493.115284076426	73484.60824599011	54431.23838630795	92864.6118299465	31066.53157056899	59480.916950828	5084.2254406613865	9693.688327054633	8006.750827080062	21317.31923029097	1939.597313758248	38696.34761131303	8195.120692650842	18430.709462784547	2307.1593168326795
CATECHOL-ORTHO-CLEAVAGE-PWY	153.25253864032092	658.384158079985	334.7591975864209	134.51718875875855	140.29411426674443	258.6620097078858	91.77377926156865	1188.7112932295113	103.40854620753666	763.0394058640167	0.3471784605048955	350.05972613675925	168.9368438023048	513.7207498901905	81.43595555523667
CENTBENZCOA-PWY	5.260269761816131	2.905566777782546	3.363664041889362	10.170372269579534	4.116853835747596	7.027234430985607	0.4692476334350367	0.4861619995777325	0.762078480013892	12.367176243128359	2.1357222001004943	4.372764055920431	0.24612870047313104	2.5710888632781748	0.3398728183201608
CENTFERM-PWY	7256.162622501179	8760.472209962503	5986.122113498061	8922.840771818663	5428.27707994644	8728.987006692416	1287.9756795586359	2392.875259431009	2620.35794861333	8215.604028865817	418.38096243951946	6381.273835853628	1736.870129092828	2351.324445574332	236.0846450316707
CHLOROPHYLL-SYN	47.154840505990435	24.994286051429302	46.0327018861823	102.695302830878	33.0173827995506	55.186808771462154	21.099821845193542	56.105861708423575	44.48235531408057	96.49654032942378	4.66123189116532	216.24330122447768	41.50986799162396	55.85859895045858	5.568121498735397
COA-PWY	40017.22124643905	86769.19863268804	49571.01477886953	70223.69730936018	27326.11686667841	61675.143867924875	5908.3099713097445	6366.427693086988	6458.546274198727	39421.40165604089	1477.8491977519195	24342.139765243566	6452.637415551062	10777.596740886705	1341.2304225250393
COBALSYN-PWY	23424.417629589192	73524.02289102228	37159.72165911301	46928.158836069786	21653.998638394398	51086.525720073	5240.389246317748	5080.570701458065	4805.5043369944215	37254.621669133565	792.7539046623699	19112.614292961134	3582.029964524362	14537.524608308677	1910.663160269702
CODH-PWY	1020.8092207394909	774.1203435004586	1287.7554842273214	1571.8886631807977	518.9095611549659	1160.2993473848367	95.24100214317502	306.68534092527335	371.44085159564753	545.7978096277843	35.238355850762005	828.8457633884487	375.15368340346726	666.5722353809601	39.67520569611967
COLANSYN-PWY	26489.832738827005	11448.83648219302	11292.306843940318	39968.78654972413	8082.404426963091	14189.997249341584	665.997772692073	3575.4073596023873	3410.823421024768	4647.141702699231	1076.1941700893988	10944.383002023818	4763.102700860874	5537.685663529316	701.1911912564283
COMPLETE-ARO-PWY	44756.33367594657	113575.29179214308	64815.55653652418	81254.24430134209	31659.71954530484	72108.75966050368	7164.088199393527	7683.774040443181	7262.230475095958	49983.62779432218	1659.7494688513927	29441.899280367656	7266.000639586399	14704.279217343785	1817.4171186163892
CRNFORCAT-PWY	107.60900536423179	152.88497806576956	31.731546060585117	134.94671893164602	85.11014648620282	177.65620874932856	4.657935248632286	69.33938154222804	7.555881986489529	109.9084330915595	0.0	40.04822992521226	138.11723492520102	55.74202044041926	3.4381934132037055
DAPLYSINESYN-PWY	36577.775884894676	94461.60494164444	53933.41962499163	69588.25223368731	29225.859322868368	64712.02029994078	6375.355737061838	7534.94316669862	6850.129061294405	42298.77758433051	1459.8622957789323	29718.779465593074	6143.665417386934	12744.824137727697	1431.3225228755193
DENITRIFICATION-PWY	93.77597202880939	137.28150105275202	228.29878944454578	138.49451870737494	44.422848411511225	107.66403669193613	6.1219323488417405	99.68378001499738	50.23014530884771	97.07928040649762	8.44926319652401	26.985396168765522	106.7606624773232	44.27292110060539	0.737504256502513
DENOVOPURINE2-PWY	31268.712276655202	53098.58111529914	29393.104095277973	44647.31957528153	17730.46514595032	37095.28808692901	3810.615927335378	6052.508082381245	4813.607290239935	26938.8436429758	990.692479736562	15782.294506721266	4878.574965356632	9521.053937989334	1072.4844903559233
DHGLUCONATE-PYR-CAT-PWY	22.48109044330828	61.00570261345792	139.5993572480319	26.34603776714627	44.022648713014654	33.00355379736975	0.001338342120355176	214.65503426564317	7.767871567945046	81.67569166532965	0.0	54.680538544708384	0.0007009214911721563	27.82266658492514	22.21591784849413
DTDPRHAMSYN-PWY	34577.94714723431	78614.12325350521	40205.69208101691	71944.99403982863	23426.71386487525	55279.03895856806	5356.948198154144	6444.6103859209925	5476.975699394859	39143.49476843228	1255.1317697991763	21723.980432270942	5632.2403831640995	14098.274068304894	1796.4753491182514
ECASYN-PWY	184.25092304497431	416.09293151437964	365.4542663271	172.85050663231382	205.9237859112888	413.5703994367397	70.90262167060304	449.9798919522014	200.8269090032646	280.94344741629527	36.47379287520264	288.85796152821814	252.41886233531682	164.50450230083567	58.386786733697164
ENTBACSYN-PWY	643.2671288552863	1197.5960531227754	959.7788279345607	1282.1475228245517	859.0802544562388	1616.55961522907	189.02519197743416	417.44885194084975	378.5427288830886	933.1934907336256	92.57262191311538	644.429451750972	494.47519526498075	2768.7804806715644	144.7624246420592
FAO-PWY	5824.093569390765	4983.694503376247	3325.1713384008444	5060.12450974926	3244.7877146819246	4773.351691699397	672.85742775883	4448.413981569247	2486.846874486836	2978.3296075644394	390.40975729008363	4627.491576970565	1724.3767792582933	3703.9525994140513	318.09080110982495
FASYN-ELONG-PWY	33585.56938882863	12915.200035489497	10607.199356830415	48055.80609789715	7469.9718564922605	10746.759113724353	1232.1247898519327	6089.353230349711	3647.1202311636403	7684.546426542638	1385.9404416643017	13294.801813554193	6203.5189991063635	7359.089781601893	754.6679649766186
FASYN-INITIAL-PWY	17638.143275148705	5427.373284772544	4569.215193052387	18506.27169529186	2704.748252043729	2553.266010381683	496.43257851100697	4627.762120052099	1612.9017454741431	4221.834056443543	837.542824023378	9536.809430669493	3807.460172973832	2442.3495733807727	383.8687898505353
FERMENTATION-PWY	30529.503332100936	78026.45019965878	42911.51690085739	53258.13115307404	23062.81532439017	56142.21025366392	5213.212109677528	5177.586034571683	2263.5585381922	30758.923646117542	1019.4719199090753	10320.30939930147	4298.343088142307	8243.300350832078	912.4985191593149
FOLSYN-PWY	30109.126694783623	81220.91726221079	42495.219084599834	48406.63076549596	22452.815580545277	57297.75740832651	5566.326297104628	4906.684031935224	3420.900540433751	38888.487818571135	913.6749801865435	13292.21008441621	4510.13116533866	7753.955562286411	821.1505846354778
FUC-RHAMCAT-PWY	12018.176477537	14656.495118390363	10505.67471330274	23308.16848188031	5696.959177377435	9857.14068588635	1036.85864220913	1858.1837302666972	1431.6186662901673	3120.512765947838	442.5408990660425	8793.801249617818	1720.428410393274	4079.1463564663104	511.1143297417206
FUCCAT-PWY	14900.023559606574	25175.23595304274	16721.76797988331	28615.117594392363	7537.251122091336	14680.223337667281	1631.6172719237018	2408.8193558343332	2105.394401678071	9539.907287969781	473.5142692376838	13843.202276433452	1729.763841593127	4508.69253207177	558.2471960882789
GALACT-GLUCUROCAT-PWY	11928.203970383207	9575.60067547571	8421.554703473319	28863.689382348588	6602.604834019526	9951.69898048047	970.4015595442958	3957.1520941789786	2681.4792286274173	4173.838522679836	524.5612948611912	14162.21979154038	2599.4150629622322	7623.211420923306	958.3004767782712
GALACTARDEG-PWY	1495.9385128283216	1605.6821125822178	1454.367386809282	4844.23760986561	1244.8065623740335	1491.5840699845583	185.29494039842533	1538.613661172672	648.4011036410344	1054.930493358632	173.18921875599116	2593.186247377446	762.1233677501449	607.7306134505466	164.46036756728458
GALACTUROCAT-PWY	16037.464154002453	11722.554366260421	10841.43080905257	37140.044914191676	9851.716767206019	11864.80558723199	1308.6172333314403	4983.214453410504	3658.9004976132005	5502.695368272318	681.2049470184883	18503.565269528877	3454.9800061624683	10620.185154401212	1411.9476368104815
GALLATE-DEGRADATION-I-PWY	0.11563257063779445	102.65786648408616	19.16251869608365	0.2726148978917836	4.983392365388154	34.00180672695203	23.38281407272722	903.7278040532409	59.1881663271662	399.24050405585064	0.017353053876306868	182.58343414346754	83.1985198211252	32.35234703031797	37.67856086342683
GALLATE-DEGRADATION-II-PWY	56.49790703383207	287.27240686952854	106.7256795627999	58.717593997833056	47.69169510285709	101.74576257839962	38.58255872626368	907.8395885248547	64.93757543240424	449.1572292346077	0.017353053876306868	237.6230421948753	117.17693691627031	68.63517251598734	46.5166132797903
GLCMANNANAUT-PWY	18163.278174757448	68442.23135187813	34595.591993339585	43923.82205731645	20754.36594036643	52010.60548176469	5026.025515719998	3483.0907141418847	2614.441232507412	34658.23166334838	631.4902187615488	14060.11774396312	2510.894177598568	5861.242785737719	795.9462434575514
GLUCARDEG-PWY	1517.4029125876284	1771.5739641383589	1599.96436936282	6636.689948905009	1358.789023849557	1511.8954377696323	193.66277205895082	1763.5460435100538	855.9725030162458	1188.205110766611	192.37911795278032	3614.9278653987594	869.7948799237867	4172.826976109353	652.2887606177234
GLUCARGALACTSUPER-PWY	1495.9385128283216	1605.6821125822178	1454.367386809282	4844.23760986561	1244.8065623740335	1491.5840699845583	185.29494039842533	1538.613661172672	648.4011036410344	1054.930493358632	173.18921875599116	2593.186247377446	762.1233677501449	607.7306134505466	164.46036756728458
GLUCONEO-PWY	40618.62911272571	33906.076991015485	27497.544020665937	75606.94269607247	13166.467591312967	25244.947068697802	2143.8608621980507	7105.134458934663	5797.053222426479	12016.931530291877	1650.8971451025445	23942.77236179607	7147.4328728793835	12269.770109625879	1388.0440141101924
GLUCOSE1PMETAB-PWY	5755.001310860633	704.8343910092784	1234.681892066334	8970.010291712666	476.5766174105557	932.8118956268314	96.65507274675001	465.1392058682258	373.6872245888886	1158.0346194771137	157.71773210431328	457.4755966025699	240.6726072715977	989.7860858470951	313.4595930229851
GLUCUROCAT-PWY	12530.463811790818	18415.544297313932	10386.217188534429	30686.161918191436	8722.914278516058	13502.62856792514	1379.2559909310496	4402.855296543751	3048.853063730603	8579.131326438666	530.151810769937	15768.03418021274	2619.072804708797	7450.053910487592	905.677358634558
GLUTORN-PWY	32766.919130376973	77301.19413410593	41621.589055022116	62439.701453234666	22923.288356262874	51616.07631080415	5187.1609652081315	6249.674854009079	5576.579532496261	37740.22454400157	1208.5782339393215	22557.38948023914	5312.339379441133	9017.810104602699	948.3834802347882
GLYCOCAT-PWY	48159.20470456357	123005.37891777349	72601.8783406814	90497.05994618683	35535.21460388761	81550.20413902945	7845.389208385601	7882.990988884741	6495.200738818864	52044.61826581599	1895.2321377449139	32042.411316810543	7890.577129924213	18565.49107332167	2445.879155368843
GLYCOGENSYNTH-PWY	46609.58774127952	123834.03612933485	70349.51714325095	89036.52368841878	37952.94695335322	86482.8450146777	8249.704973880567	8395.322388212106	8355.74550623928	55176.584577515474	1726.398338351519	34933.09644051631	7336.489174266361	16293.61669428204	2146.9224241214147
GLYCOL-GLYOXDEG-PWY	1961.1402331498225	2697.058149501511	1616.8999062975022	1024.031044497062	934.8788644373338	1951.3398259715193	262.2834337649475	845.664356740153	263.8231308930949	1232.2650621162381	35.77635912285871	887.3639990550603	537.1275753145792	1313.2454005002357	93.7411829193629
GLYCOLYSIS	42218.57097904762	80894.46529402712	55452.45367151362	70836.43780342877	26791.57369372406	67387.8669002521	5082.568444576697	7406.75864930027	6210.281635192991	22296.414068314454	1584.1071740114626	25695.013800584074	7386.282750444965	12916.917844454923	1283.2375990991657
GLYCOLYSIS-E-D	14198.511056246814	12758.550418591052	12180.42559657212	34337.37871047221	9386.187279610433	16682.346868193817	1366.7721393140653	5806.103090860263	3245.551207288177	5999.740141124465	762.8002152178668	15357.970641476684	3932.8520945244154	8035.008154706134	886.7919923075192
GLYCOLYSIS-TCA-GLYOX-BYPASS	1653.1686258913053	3068.1829119415556	2646.646009025345	2104.5822385018187	1489.0842105769445	2703.2649124004556	607.2759987636341	3380.343332656593	922.3590301272475	3453.3169823700987	325.23360397220284	2491.412756755995	1226.557065832234	3113.775455494996	360.0074013927054
GLYOXYLATE-BYPASS	3022.2404324628774	2863.112214363021	1838.2987358788837	1218.1143519336906	955.3799850816071	1953.5239756698181	258.74863026974623	1844.5630964623806	501.34899786394874	1578.0945408449888	163.16353147769073	1213.058787894288	912.671833394425	2310.9371431360273	210.79939474902525
GOLPDLCAT-PWY	3581.770791442959	6279.44126142601	6039.231949439262	4479.130952891845	3007.4525161516526	3368.6374229825165	278.046364502302	469.56840218510183	982.9117076638217	315.37101683144436	124.04777135015735	3996.347310606415	581.9416798560283	1413.6883938604215	166.05613239627087
HCAMHPDEG-PWY	199.6911189986492	370.9697151310315	325.16703473576626	146.40766765731976	168.23956945700144	345.75417205430364	60.147956756880035	122.65254352441295	111.68347363761991	154.80642656968365	16.82204736345241	120.24738572881394	145.273066341038	209.01365662422162	38.528108109185986
HEME-BIOSYNTHESIS-II	2867.7157079806852	2506.847467372704	1649.7138565067542	1662.57519335489	673.753884279616	1670.0196296180648	283.6888274375553	1403.734617188019	388.0482218831553	1215.6159536032678	105.49699294810716	1153.6889982945552	801.6597966752771	2330.132927693987	98.83412051997898
HEMESYN2-PWY	4231.854479455933	7601.474057953871	5491.914848666261	7490.784103479092	3146.56698243824	7448.715766016167	863.9812168033736	2653.9560423260227	1824.2665985716085	3451.0968712999147	210.24343633454595	3582.9839358097743	1384.3254025755868	2927.451136337482	201.32213617963177
HEXITOLDEGSUPER-PWY	17507.60393329726	20282.807622853816	17534.03537316672	28317.945192107924	11738.85989420888	22687.413475394016	2095.921200533004	3392.9826255370594	2579.8355172467386	5545.556787494805	642.4117514309095	13173.726058392655	2568.717511163748	3532.8782395367894	333.7621253628167
HISDEG-PWY	3845.643077573132	4735.1726532593175	4165.851584160384	7952.709435592158	2431.240022154203	5306.368542509831	501.91017284041715	2402.0825640439753	688.1899355889731	1368.8369432324043	133.12155809454498	5597.1774132517785	1061.064453856688	3640.154190156856	283.81531330588024
HISTSYN-PWY	40988.30586113733	85877.52876799258	47353.48958565987	70663.99210595309	26712.937799322655	58078.960003625776	5875.989528775572	6803.028358017482	6499.043753757793	40804.14524097183	1603.1550438620493	26207.637656758543	6762.108247435417	12209.773553889836	1540.48370044416
HOMOSER-METSYN-PWY	21493.691514848826	26185.767370716894	17372.878460593685	37206.8743038021	12046.482561299514	27443.321513297986	2531.72725005277	3811.582564985924	3043.3916072412017	13239.839627684061	1030.6448545683786	10696.710879227925	4075.0515601958864	6306.606629785039	642.8095029668606
HSERMETANA-PWY	23824.730396742052	26611.223947884468	17894.624242600403	41763.69697890592	12681.63964116096	28379.104436038444	2600.9525514371826	4476.621794429321	2063.500739887481	13477.686804836914	1152.123243608618	10605.263633053197	4474.9563778430065	6282.02530598681	706.2827322812425
ILEUDEG-PWY	44.275242837380326	22.21601478002693	26.931573472975085	75.12495060492505	34.648413447743884	55.79584995825719	3.9555628213643956	4.096984050953825	6.404375118283822	30.702291191077762	0.0	33.936377735668344	2.0718998679613216	20.42749796012769	2.915679871951604
ILEUSYN-PWY	50298.034484364434	110241.26966926262	61868.656672637204	96810.86322778098	34844.33068592007	76266.7634958218	7760.508889685426	10344.645055246545	8656.980115163944	52256.59180023934	1976.7344747832226	35351.86095507305	8636.36866935317	18835.141770587557	2341.7219090615035
KDO-NAGLIPASYN-PWY	578.6936257709002	970.8289971993776	894.902980335354	705.8620337151756	400.5800930543183	826.4971912668767	110.88992413177485	1311.8340134066063	356.23693156836373	917.2937850516495	106.69098981971742	737.153479984671	725.9603888894625	438.99835482867087	142.502340315653
KETOGLUCONMET-PWY	326.4061541539402	841.0778287165115	653.7029457825593	399.4333733868786	355.3554096158397	644.9780813574606	101.43616048856872	757.6583348329165	302.11313408313544	541.0944108271723	32.73597980087215	719.6961032302321	326.03728785091596	676.5390482088662	78.72240422012987
LACTOSECAT-PWY	756.726132789454	2126.7329689531675	1866.6042562642754	852.331098542531	518.3494131153035	2705.1039432202456	248.68026577596976	595.4883197987438	183.06460834426636	539.5684539789883	36.79320865861019	744.8581491390478	193.69390470972937	165.66870596704607	35.048275851914184
LEU-DEG2-PWY	2576.3958672478666	2605.6192407542117	1401.2397202840775	723.9567760261817	688.9547550386865	1476.99667205526	223.0990613270334	2088.7941371956194	302.7936112517417	1292.1504932782639	108.518335475785	668.4414020935158	707.1797079450002	2222.206932581831	154.72872464122625
LIPASYN-PWY	3.59e-13	1.8e-13	2.1825000000000003e-13	6.0925e-13	2.809999999999999e-13	4.524999999999999e-13	3.1999999999999996e-14	3.325e-14	5.012969036774276	20.67563668449975	36.38857110208417	2.7525e-13	1.6749999999999998e-14	1.6575e-13	2.3749999999999997e-14
LPSSYN-PWY	289.1744792561529	2.9650902356407673	3.0326839034388704	125.54222780440256	2.7609731953994205	10.829069797926664	0.32218496371495264	101.27134233466778	16.537694864064868	2.8883264832745814	0.008875053278429874	145.38042968042484	0.24154138257105195	237.57658201957446	0.23372522860307315
MET-SAM-PWY	27470.589699055876	37015.88321540459	24104.02550708096	46577.16759246255	16095.00651586856	37139.29674464752	3437.1694017234895	4741.93026528576	3823.647617546395	18489.663161141212	1232.8653004819255	14192.206955528003	4993.439436673937	8203.510303531946	861.3582925209107
METH-ACETATE-PWY	5437.565582091269	14302.145076129438	13338.467833175211	14218.239112635953	8787.927504993278	17871.566119568073	1287.2475369072795	2664.2926340655354	3741.295708922416	2310.4320494000776	104.52500738258914	11807.661055562206	423.6463037076285	5353.28890593549	497.8062046807119
METHANOGENESIS-PWY	0.0	6.923436994649598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
METHGLYUT-PWY	396.42187558147526	1448.0058400341948	874.6257004997876	272.6931336692466	641.0679889489227	1487.5900842483672	162.17638436458057	162.32988542586403	140.57960773227026	714.9346054703943	27.9093725572906	181.14837292543334	230.65617514157267	171.4161348208004	37.600920728389724
