Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121688	S210421121689	S210421121690	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	NC	HSD-NC	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	117678.18349304955	212358.27667624856	95648.76219767008	194867.5527441856	35522.82817182736	88535.695008697	49838.75786262108	5722.076875537856	5800.559004518493	5251.488537546316	39424.87503815324	1437.4510185468982			
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	35.97181331903189	140.96644932992896	29.0729758109942	72.59456259704498	149.93766373102255	721.3476289946127	338.48091072789987	95.26158179910156	1387.738688289682	230.50206480870423	704.2765449666878	0.9376639209732222			
AEROBACTINSYN-PWY	aerobactin biosynthesis	114.55596467680228	81.2260566610644	280.57206195153225	22.42649314186117	64.63189823685693	136.96617424478467	139.92273210689655	26.709014338168146	26.739537603665152	61.45017220429974	78.6148937540702	12.770302293569044			
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	2633.144134156817	1304.029052200631	2945.922811676722	543.3864143233279	991.6999025551312	1480.806700497886	1412.3212708195251	235.2914985863948	335.5502864579081	485.9544217748812	1242.6460991992665	134.3654525503904			
ANAEROFRUCAT-PWY	homolactic fermentation	106097.99523184764	195051.54384023315	56306.658007271806	144344.35861822468	33895.72231395637	59755.328258247486	44600.201430765	3764.9685254261535	6588.657290597853	5103.820146240408	15140.163415669776	1341.811114685769			
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	158772.90078826188	269700.4188818323	119981.6306104696	234534.2313817294	56264.427360384136	136568.76684446086	77659.15064148605	9444.353280613865	9698.541782632752	8255.66899562104	60360.467957641806	2102.357417124209			
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	17114.142564272053	18127.760113678305	4641.573791845197	33665.09459351639	15659.032072864366	13525.608436668115	12920.090015394226	1513.4318828984676	3911.658630964689	3215.382678703932	5841.8186851839055	569.2799754040147			
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	96.27140036700224	74.19303654642526	262.96004768667257	20.271471700155903	60.170803604646224	115.793450476616	123.88877486140596	26.003572155447102	29.615445768130023	57.84020470677551	219.2893094126612	11.24189331149895			
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	16172.35847406092	10602.546297679	3781.429572286409	7111.500718725499	7848.121559634742	10561.302926885626	7818.060663891788	701.758423207833	1460.9609876140594	2051.806190113001	2083.654581978089	223.48546912971204			
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	82059.0841188246	95624.80363799426	56129.26827370141	71723.04715842352	35984.97058117996	83284.82153853656	46417.57067546601	5617.529117106681	6635.30433152143	6252.6463029314045	38746.79542285395	1325.4443848382175			
