	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681
K00001	77249.50054142966	206578.58535231257	76126.98936607147	158568.12878051875	77945.03086985201	30068.346585660856	85971.47336227859	55572.68618925288	54610.5405487976
K00002	1473.85749703605	559.0457040618783	186.0412003695681	168.93055949092286	100.61080004871401	30.944117029236313	41.68847896426953	225.22711754633542	26.174772571004432
K00003	49101.14585911033	48583.404532330394	18759.72470863688	50840.20372001413	16470.150936042577	9917.712828329291	20781.99107730524	40933.62466316551	10114.646954171094
K00004	2931.5339214892774	1633.113139636906	247.01541649839947	3137.4376594024693	174.8313075335285	639.2216553670386	356.9699613534948	3449.3077043820967	720.3730758958754
K00005	24426.366406048983	11907.195048892994	5428.955108009835	11753.564171522434	3918.2176046441136	3294.9841398563703	3453.0086130955233	27041.174432779677	3611.8999767839728
K00007	9.330576380941078	38.25111256629552	19.421225979275988	157.11231773546083	5.091338546965293	0.0002449211854219675	6.250170695030708	24.50252618495536	5.001611386296401
K00008	86137.5202554627	104272.59038162306	36571.57870624916	68696.66558585933	33960.1403723344	8554.737066862459	47664.57573206714	74933.54063450618	15028.961533644177
K00009	3791.6767976226747	19554.97525837848	3223.3650894474786	10411.409713530813	2736.7930380614143	4041.0285401245483	4758.587972092198	18294.832488015305	3639.8606626895053
K00010	40256.52971821467	55723.128967522185	17791.508897194817	50361.557341273634	18345.142116622257	2110.571312436881	14873.522628709201	14195.747404389294	3144.705061384985
K00012	164472.40735687135	424483.09660941863	146040.55642653082	259063.09023628273	152300.09090820848	46224.95592249073	193804.42101624052	75512.053125959	98996.32182476937
K00013	107455.85811285532	194346.06058767482	75268.2233684831	144896.34696374828	76490.59522339118	22045.658285057987	96126.88017427795	58753.55421090998	50658.621868159265
K00014	139416.6510403489	202291.90240976465	94480.36715787319	188706.38198078726	95039.99802063085	25255.9324462624	110826.16067229924	77816.51834832586	56835.38333155391
K00015	1412.6015608685288	1025.5700499174486	124.59393936018259	5801.559438108668	98.47190307190286	50.71030172696611	102.57371779375092	683.0028324146215	78.19738637408526
K00016	40901.01917461345	69957.9394017348	9982.33517193521	43644.43755209764	9487.260894468955	16415.88440054832	15012.67039518318	54869.46583794752	13866.099011820832
K00018	90225.3526114844	140453.39331202308	64008.10975471443	142730.87616114793	65364.88198126344	20577.409017341448	85481.42512237569	48185.5134167786	47392.17625354827
