	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
EC:1.1.1.1	134314.3103710363	243132.19121336058	83551.14519570491	195774.9539021931	65392.33572259602	78087.61872865951	142359.3716788631	40686.531428729446	123317.48422684241	40293.81451621128	23394.42045283365
EC:1.1.1.10	0.008439985324795835	0.435127075737953	0.002129056148620247	3.740145263416734	0.05262134660615671	0.03779674866366567	0.03195442634036897	4.492303599055727	0.005361960181724711	0.028397885344349207	0.0021258189227665618
EC:1.1.1.100	252986.91304882005	383113.7747727323	165610.38794519013	332067.91664939583	134609.59734903043	148192.15776180726	225564.31200326732	68315.1710661002	189430.98940488152	75720.10697098586	36904.94680767829
EC:1.1.1.101	1.9512052451750836e-29	1.1030996276792302e-28	2.300586728649893e-29	1.5736107491136138e-28	3.51216944131515e-29	1.5577506850886614e-28	3.7458967006302404e-29	4.721298270831756e-28	1.0159241757685122e-28	9.528526363896272e-29	1.3570974801573953e-28
EC:1.1.1.102	0.10780851242191529	0.28409732501554047	0.09550296708979289	2862.199097328407	0.21729079909461352	0.7320750072324802	0.10171646874565303	7.553345903355262	0.7858251974553783	0.5890590726722096	0.5676281532681005
EC:1.1.1.103	26566.968097676254	40859.84686335799	13249.98505726821	17369.296665211954	11213.188001556491	6321.016799643672	7783.740536065862	4904.13718167504	10481.104905382314	6594.188280437998	3401.4540812753285
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	7.744959133899923e-12	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	100.2203760835962	10.605269583740302	3.804549885055448	450.2458061710294	57.328465154362036	347.44813066618383	319.5855755407702	729.5265263947881	262.1408361587113	292.91481168089024	115.12962364328928
EC:1.1.1.108	1741.7884316866969	302.1223481257621	435.433049819744	4097.510035068139	1207.6234255993086	647.6713781329972	312.58704918025876	343.3391049079383	1891.6267240770492	620.4588534233231	207.58294965968014
EC:1.1.1.11	9.330576381021512	38.251112566649056	19.421225979307557	157.11231773599573	4.00028903716045	13.331311545404583	14.25034385534981	383.2537332990573	61.000966468021154	171.50092683416085	76.00122997831518
EC:1.1.1.122	212.72821426731304	199.775650016766	300.68598339186764	190.1593170616652	202.15430742449152	1009.4471765581604	456.8791006664874	1774.2381764343768	544.9899140822059	1032.0164345597557	725.9297235761602
EC:1.1.1.125	13909.583502046764	7314.558493924175	1486.7120873077317	8432.372682195923	9406.056569881315	13050.050805794985	7365.8026717505	15642.27485834418	16022.69796601303	8744.245404970785	6097.128894238268
EC:1.1.1.130	10680.765993693014	3340.426850471923	967.4677760356706	1592.9771740725437	2292.0411670149065	1756.7602476504644	1147.5442015305437	2269.789880252842	2763.499390405864	973.0936598172362	709.2826628633898
EC:1.1.1.132	2128.777214502844	22012.99271919279	1.7533066928994587	3500.8727023145393	274.90202315517377	58.080735731009256	1230.2516300916132	234.46317682575054	356.92540401678644	48.629685760221875	309.56185041036673
EC:1.1.1.133	174590.69904512135	375601.3646122385	125858.98338657286	242027.24967509162	48055.566192724684	39836.596785268644	121562.88870137799	17137.641687972548	58345.90811041322	28684.539730284658	10802.11012576352
EC:1.1.1.136	5758.520869749172	663.5136634183623	536.6359884482583	2355.4906122974653	2514.0248897642286	3726.966157770852	1782.229796354713	2486.6498080254596	3873.3316770538313	1953.9388391847747	2092.68810226724
EC:1.1.1.137	568.2667435772637	475.9332653940696	385.4451863461253	1459.639680242045	3176.953422213039	3403.144394599871	1111.9815753294156	1136.8649156634228	6431.753275747606	610.2514059785389	1341.4842158033255
EC:1.1.1.14	85713.72679346	104273.03027603473	36319.043451836755	68718.71691869722	58088.35111885515	59291.889477461504	46029.42206443137	52732.479254773716	64113.11493594766	44467.71431817446	27765.181819454854
EC:1.1.1.140	1179.6492172500557	4157.050031108463	1813.5350057320766	1901.3104836900216	2481.576976534454	10234.223088885956	3694.3207491682506	9384.354288244376	7196.060020292606	5853.326307339568	4857.189508489017
EC:1.1.1.141	0.014943787900324901	0.7704334165621411	11.914561191438718	0.0012062015316968368	31.24447188283913	0.06691994263473419	0.05657831753618542	57.42964152782879	3.6743527770941022	14.022555768188338	4.584837615155638
EC:1.1.1.144	0.03163569685275906	0.17885010050042258	0.03730036320424001	0.25515917306313424	0.05694622700731481	0.25257452953020665	0.0607337709633182	0.7654847905500379	0.16489169572802	0.15461682690727185	0.22007518308634003
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	1.1396211628052149e-13	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	49436.127773509936	10612.063403869275	7698.05121870559	28247.672401800155	40565.752817743654	38940.48843056716	27099.50239217964	17636.885496711366	53869.555495377084	16716.024233738342	9364.477417107031
