Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697	NC	STD-NC	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	117385.22113111582	211051.51148910285	95093.19209465865	193933.1396348589	52057.86573441643	47216.404987696624	108234.4669931654	14780.436788423498	73401.77807662576	29907.03999628505	12481.88303268548			
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	35.973812150077784	140.97652840531256	29.09018496410176	85.80022800935026	20.409521656635164	64.98040725148604	78.40315720583312	1282.9497861561688	303.9829907093735	523.5153928743869	316.38096695691013			
AEROBACTINSYN-PWY	aerobactin biosynthesis	114.55596468169662	81.22605664757218	280.5720619551119	22.42649311996942	8.214692339079814	45.6415341366151	19.603328992896213	86.69939848632741	60.38267532346664	60.37323743942666	62.93549185933343			
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	2632.267702117128	1303.9334827102014	2944.2183792289693	543.3594520656931	235.79991806866863	778.9906112226795	462.8468896522076	1158.4543671422102	1096.239315791622	1179.5116461085745	841.8226310459365			
ANAEROFRUCAT-PWY	homolactic fermentation	103092.30294229416	184210.37946241267	42202.96619338036	133504.55529403297	46863.686809787	50169.70887696394	108319.10727035244	20366.37814566141	73170.23099470609	27507.710141291183	14352.889823601574			
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	158155.55645641268	267887.2828565367	118967.5190516422	233221.5684415761	67758.67671973612	68016.7138730046	137777.46983543073	29800.313029671765	94592.32695125553	41114.13774562161	19643.348340549383			
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	17105.15009560057	18065.83651318088	4635.23510879776	33464.80333115766	14815.484129170223	18240.159971387355	27294.901477097093	12002.937982133564	22563.4540806151	11249.456851598456	6328.629092639421			
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	96.2762310111942	74.18967326392783	263.14648662335645	20.271241856956703	8.315979856786198	41.011930030853485	16.474073627923143	252.71239142437287	70.88160880631656	59.14643667381176	56.28382531526544			
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	15433.18727819263	7777.86982800073	1776.60938819557	4425.843408452657	7262.173380032773	6772.510146678393	5538.694293846127	2718.337821188189	13769.09291888294	3572.713941118884	3464.592918274262			
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	81612.79652508209	95492.816659887	55942.78236382493	71628.93855631805	44440.352122894095	45740.332739000034	57299.098019540965	19052.58367538884	57214.672155517634	22818.027657360115	11000.99475183986			
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	73876.51153146522	68263.03304287922	40841.4277027275	55965.11408348137	43592.44259835324	44731.47706898496	50053.368142119005	18249.223523498425	55059.70063846263	21765.98426189654	10446.397635235482			
ARO-PWY	chorismate biosynthesis I	110107.43835159187	145876.80300036882	65872.3934155526	131028.97325910832	57768.56654744176	53136.53363364733	87626.71578434487	20525.490449022906	74558.09124731779	32118.896430616107	13779.070786286926			
