	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121691	S210421121692	S210421121693	S210421121707	S210421121708	S210421121709	S210421121710
K00001	76742.83885441363	30057.5194152045	86026.78817743772	55356.00168778621	54666.77307858094	39799.095573617145	8906.551783188714	12227.43416513614	12857.602387058178	4871.236907143004	7680.906426763509	926.7341746486861
K00002	100.61081795077249	30.96234019825446	41.68848026860209	225.5775307960188	26.174784813184168	2422.1505019590436	737.4913810256504	819.5922705477806	1587.9583587673285	181.42152148412032	437.7865739090108	45.59413509662172
K00003	17836.740462896105	10007.282281741034	21108.944591920474	41939.97798253861	10453.233873927245	68811.5691153094	48052.06205276481	128027.32017070809	28430.689488762837	4987.16093688505	14358.369756906013	1711.6805757689467
K00004	174.83130601836882	639.4156566167313	357.0212816817578	3450.169580303588	720.6248032461308	15365.037795911727	8242.873266850245	7540.79050874088	10129.578368872066	1631.1179715686644	2902.135166986544	125.45708119950612
K00005	5372.636924635417	3369.563818905882	3724.9135983149317	27915.355138098137	3893.6575915974668	38313.36409882567	25466.075951008796	66856.17862582709	15969.420918371223	2414.462582538281	5626.5810946578995	756.8370631681578
K00007	5.091101868644765	0.00024492131800201404	6.25017069509015	24.502526186665932	5.001611387467239	31.2593668030463	29.504502855629518	74.25734627758793	153.0043543560049	76.75050576046854	38.25267384838944	33.67041332890665
K00008	33652.55880973094	8557.427425467486	47695.77197550288	74747.02244942129	15056.556821268681	114017.12322121336	34674.92258390387	42710.35862814626	48424.92765413919	8072.673017125965	19291.11527321569	2197.1532263943513
K00009	3052.034440932802	4041.0573232174506	4758.892389799214	18294.435712534076	3640.6669148711935	14329.83988298415	12291.276883050281	33382.99420955717	5147.818775637057	842.7543998289766	570.3109183834347	55.46911005719886
K00010	18345.250496741868	2111.991520761795	14882.715699047543	14197.809836097917	3145.546107780183	24465.631763890426	17183.081067678242	11516.594369788858	30397.549370952736	3413.3449510683795	10671.060462660698	831.4161326683001
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08139126744173283
K00012	151883.64569932746	46229.628141804686	193888.12076889462	75377.78171194778	99081.23774948032	58621.67418446164	19248.226105682617	47229.00779967512	18303.875894144345	5866.336165926857	13304.070510904003	1565.8901443083632
