Unnamed: 0	description	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121691	S210421121692	S210421121693	S210421121707	S210421121708	S210421121709	S210421121710	NR	HSD-NR	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	97126.9585420953	29117.57540511951	111227.65585099006	71957.89307411913	60555.11902860869	68725.36337890614	24708.64177550224	59760.25666310404	22387.86685714541	6018.625309232119	10056.17371239715	1237.1215697334617			
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	6.324278648214412	1.3258084755954511	60.49873647483675	90.65464167300038	25.119172396335014	209.1700789184915	128.30006714180973	315.6466047659394	629.5527927757352	273.70216313652065	228.27329198583743	94.6490193195122			
AEROBACTINSYN-PWY	aerobactin biosynthesis	271.5103450104422	20.80710675825059	28.843513228592226	101.74231103915926	38.67345672684888	62.41556860205141	79.27101956163509	152.84546555034547	64.13109278225811	68.02387328361364	53.98913851042019	17.012188143453955			
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	5235.079104138795	305.07964382269614	418.6927053805956	1605.1553036377209	610.691574466662	1466.705684316031	734.0361783660704	1430.2941797726746	915.3161335570622	674.8879318551298	1005.0003387950266	189.39152243590163			
ANAEROFRUCAT-PWY	homolactic fermentation	61321.44968536071	31040.4498694874	64625.65776254844	79898.14848579452	46529.02836618426	60006.401292972456	21592.11972143901	52900.53839859256	22085.634592714512	6241.227169807368	11909.029657370467	1118.9225303097116			
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	121684.7887295384	37517.897563703424	137063.44931486898	93412.5634887021	73936.17139511672	97880.21643263736	42421.47296752752	95996.30612481532	37305.1999030226	8827.837806215035	17233.75725529787	2109.920606305556			
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	4754.98575237157	3376.8065507352044	6611.876677510434	18838.84537394482	5362.852374715277	22945.905313948504	11514.388613921392	16052.229947759652	12411.706714009206	2680.91685370943	3635.504776089545	436.92505017595033			
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	1061.0731201466308	19.8485735740506	22.98328744571264	107.13564283172444	42.526280782817096	64.75119900024588	82.4784638831886	137.3766161077555	81.90233740243302	103.57000984658728	50.65351082674578	13.827198328608066			
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	4584.416555702396	2817.7714295257542	3712.6071490939567	12560.0210928713	3154.019017551857	10961.879695865742	5329.072139706345	9886.05978951492	4971.085557461601	1293.5699910460785	3156.595709593468	159.18048949576152			
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	54022.50183960653	12306.54432351774	42237.67323530543	50733.40889554151	18931.870571913685	66664.30332591235	25594.93447909155	56372.6384865901	26148.12368345521	5630.513810735909	11367.709150595903	1239.6173116583277			
