	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121685	S210421121686	S210421121687	S210421121703	S210421121704	S210421121705	S210421121706
1CMET2-PWY	97869.34612424612	29117.586412832166	111231.19023458364	72090.79622684566	60553.655073040805	65367.99837934736	21323.64900413544	24863.55690852437	7347.959218115167	1640.514395291519	115737.13795657133	93664.48125733726
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	6.324278981596269	1.3258091727530605	60.498761321973056	90.65676280281546	25.119173977771073	26.006669907720934	0.3370513916268466	3.707140079911646	485.5902791209597	0.17427899737707273	260.82290227779566	1012.5896588194305
AEROBACTINSYN-PWY	271.51034501390745	20.80710684682053	28.843513237858325	101.74231149885144	38.67345685513875	57.83553305261755	2.4866416269254645	21.458032163859414	83.5268637136093	6.722286893383729	48.849230450603756	100.83553663575903
ALL-CHORISMATE-PWY	5236.524973092651	305.0796895225858	418.69263993989335	1609.3185302733834	610.6915785890795	1156.6381817736421	62.63889320749325	414.79520770840014	568.6309722721595	40.111010347827886	735.526111157118	1556.0733639229372
ANAEROFRUCAT-PWY	61500.82219076954	31040.451812299478	64626.563383639994	80163.85177794298	46528.58372268743	68093.31010456911	21254.090990022294	26200.976674537676	9700.10453880562	1738.17416504115	103912.50257096297	93825.89230727643
ANAGLYCOLYSIS-PWY	122522.82114125052	37517.9114168578	137068.21321709483	93662.90432337217	73934.68021669972	89673.966663719	27611.314006940585	33641.44660955023	13275.859797931567	2543.2555740500957	154002.8312833745	137215.64941802266
ARG+POLYAMINE-SYN	4755.901739271991	3376.8095965017505	6611.928248185267	19072.96862601696	5362.416446349453	23304.238190158656	5377.973882970488	8141.292018474895	4798.56305271746	453.5594831984111	14115.717928505674	41612.30282215623
ARGDEG-PWY	1061.0871110276935	19.848576130685654	22.983288606737215	107.137183864377	42.52627154634355	52.966378085921384	2.2468780291908503	20.899944614301916	82.93470561230636	5.577017608085655	83.71649487535305	97.20819628938078
ARGORNPROST-PWY	4591.9534351662205	2817.772395719066	3712.6036241702063	12575.80922532316	3154.558421616628	13048.672524367303	2834.3458834462785	4026.7471078443887	1791.0397899508407	195.069668528858	27547.78306163949	16501.208970748743
ARGSYN-PWY	54237.22834333367	12306.562407333218	42238.04789880304	50906.81884891398	18931.13870297045	56761.711249744745	14347.65478528012	18852.994454707237	7522.868936055426	1207.176939215296	83545.27455933073	87216.39423605012
ARGSYNBSUB-PWY	39585.44464358982	9123.748332337193	32396.525878894794	47737.582977847305	13834.763200794834	54375.291729609926	12361.990726977081	18022.579490042524	7053.811859601292	1151.5487649425634	72095.60445363217	83255.03898527399
ARO-PWY	64472.20210602935	16348.511174745494	67513.87837717606	64609.60708550198	30794.97966716775	68808.44819014582	19369.605605197838	17898.669437640438	7657.33875216196	1025.6494512542436	107940.66023785988	105429.08490847865
ASPASN-PWY	109783.11076686309	33726.41675058082	138371.82254805864	71413.44405345694	71649.17408527016	61998.74112817301	20650.161290333835	20988.104338518355	5959.0447865843025	1412.242761889558	121082.91278218554	87718.79860626571
AST-PWY	764.5506106705689	27.812406240178674	62.78649179794059	178.74408808537643	64.90266637183167	80.46251107664828	3.305691584430654	28.579434008260254	199.36031611466828	8.94922128257805	100.39101155388533	229.1933774943992
BIOTIN-BIOSYNTHESIS-PWY	87134.81710885103	23582.749911743693	90815.66950338891	45954.7105338611	54234.50897848483	39467.5229898705	14472.39586738593	4895.355136387373	1517.7161358050914	320.23488710714037	88632.21912970331	63986.42308296214
BRANCHED-CHAIN-AA-SYN-PWY	101377.69051727575	28836.99381007408	118549.18586245812	76675.72188266137	63530.94657126239	79741.80272663636	23107.893041940366	22876.56695005077	9470.253311199618	1345.1040392020166	135531.3143598062	122673.1684278601
CALVIN-PWY	110851.03902814341	31859.623485982796	125106.14347894175	91968.19161515559	64886.30327666792	84769.77583823731	26280.952983517753	27248.726706406684	11321.50434345497	1641.5201426649348	175043.76594276185	119940.94889576228
CATECHOL-ORTHO-CLEAVAGE-PWY	9.880314250864696	0.5724788805792007	57.76389914529755	93.08072049055423	50.74992731265982	14.04562699224719	0.03720129673887296	1.5320673138944199	378.6973244086988	0.0	43.93002731800967	505.7478959812642
CENTBENZCOA-PWY	0.25603484498389634	0.16240423720627292	0.7081528691955369	2.659508016615102	1.653006343124534	13.409280792517816	0.108508999806429	1.4589413052129176	1.2131101591312914	0.0	59.42097093798967	2.4395168627544725
CENTFERM-PWY	4492.762324250793	1458.1706236175626	1585.6486500136182	12782.79791522049	1853.1208886130728	13626.105758373762	2681.332082154345	3354.4720965692572	2562.6954448291785	170.69961628431204	13362.728587829091	13702.584546303124
CHLOROPHYLL-SYN	1.6120875821669125	11.905075465534946	8.915053324596851	71.89615128093195	47.9746131059964	20.05358762497038	0.5541767479595013	19.45807159433772	72.21885031816747	0.0	221.63998599668432	97.98479623598521
COA-PWY	107084.77942242236	31877.567236786304	110367.67729565932	76764.57711769926	61509.34611495561	68936.76816787469	22419.06792216435	27741.742895701656	9189.251859483564	2077.7430889356665	119450.02665740068	105074.176753584
COBALSYN-PWY	61547.16298676459	15145.452647917133	65199.94793659652	30521.173399186577	34404.119737299385	33295.85938311084	9138.973802897222	10781.252489697026	6122.045507904732	591.3124950606125	68161.00740391407	48050.38621787159
CODH-PWY	2705.5700006363463	155.9842825781396	1940.0340366033386	684.131874855372	624.4002684833682	3221.6397341491174	487.45839311885493	279.4184158961739	408.9121908151808	6.136879356468371	4634.42686536652	5661.571314764773
COLANSYN-PWY	53093.97185404463	20808.82406480546	27194.188483038164	48666.357318635484	26292.00756243901	41746.98035772163	13721.711299555724	10303.913505369126	2545.0630511658587	751.1208411721859	44181.40445022369	71199.03055610193
COMPLETE-ARO-PWY	68956.44326308879	17426.937485757677	72782.13008371796	66916.79893434142	33291.08110075706	71656.03826857527	20078.807502383526	18709.385165529802	7980.72700260139	1076.3595274043996	112747.04911533027	110257.53121866105
CRNFORCAT-PWY	0.7240469489700536	1.6141025006744503	10.069243546645284	57.2175113798723	21.66769874957362	12.59837383631807	0.6688546098681906	12.454039577676644	44.87677732305216	0.0	78.83484184720254	49.781220504688676
DAPLYSINESYN-PWY	20407.71246834766	9799.254695972684	27521.87012619387	57145.75522989296	16533.037629858314	59443.729314657925	14747.996013966616	23609.37326327612	9241.116791565584	1476.051651329133	93039.07795159314	92564.72080121514
DENITRIFICATION-PWY	17.23409391452229	3.4525642794634237	35.79418076136853	130.463690539709	47.07614772927755	24.93096978540942	17.76804194694455	16.884428869875475	38.60823765361864	1.1285698108399576	111.4553477801387	1092.1179501772417
DENOVOPURINE2-PWY	85263.37239979312	31707.84402261218	112222.5841971971	57724.02169828576	62122.179515119235	45614.962505642055	16381.362205286769	26972.055635223398	7986.109292908141	2261.2817438408756	101706.05581725165	76742.54035839722
DHGLUCONATE-PYR-CAT-PWY	0.00020708080857553382	0.00046179055672172206	32.64867348915272	9.50434769187127	11.60601400038225	0.002063165993197492	0.00019113921695742276	0.003566976912875077	57.19672875299062	0.0	0.0018006593085962935	98.17039508974116
DTDPRHAMSYN-PWY	107893.25268882085	48656.67677664868	220466.7729654469	73520.56602885475	117629.5724702203	63305.28388843643	20980.890799978984	17115.90525007467	6506.586570165825	1047.6547604942127	134726.76133974327	90245.18634448932
ECASYN-PWY	1659.5998316260348	62.90562262957433	76.5930013046579	303.9762749850032	116.97353530136571	169.28635261111444	7.51200510903878	80.88523999079686	232.72311953472737	19.20674448918035	247.11058039735985	503.1828983108014
ENTBACSYN-PWY	3433.231977199438	200.7059145400376	270.63172575344777	1021.4320482642222	393.6579375682475	948.2590455257651	60.230745026755386	560.3767275247636	574.2258000531359	47.488091604317255	384.50855758311025	1294.0032574263353
FAO-PWY	2724.8237317813077	892.6883039840818	837.1986109920973	9742.298896923327	1021.6021176031412	11016.509729905667	1931.6948445679955	2425.9200038581407	2168.3933660176467	118.43244390290315	2166.006914391351	9900.404025817043
FASYN-ELONG-PWY	118826.2566385837	44854.53687754151	151463.9902737258	76030.62666866629	89662.7460027237	61763.6596000141	23248.405658776563	19038.02681901136	5763.5868746600145	1420.4003013009865	128164.98448256607	92861.42287915703
FASYN-INITIAL-PWY	62633.52116660841	22466.91353081251	72716.3617482554	42419.05513781193	47617.658433944525	33871.32545330837	14325.907758075222	4617.643922956627	2009.5429299497384	371.15325932728456	95664.9387831789	59334.77434906801
FERMENTATION-PWY	18475.358506571054	21511.83513959072	17887.565305156484	54043.57099439651	26328.50188172059	49790.438496424766	14218.00278408931	11598.68199591782	4946.71102795827	751.1523696375631	76259.46354671654	72429.46059229446
FOLSYN-PWY	96818.04850578515	26376.030186375418	104495.23745090468	49230.28319062451	57292.6922355865	35759.337234074825	14616.837821645478	8477.9124629092	5334.532842756875	514.557259186581	92818.89812588171	61552.154349080505
FUC-RHAMCAT-PWY	24602.388343118622	1704.5001895266853	9681.647446905185	12478.755635060239	2724.433605532666	14167.929261051313	4686.564148932779	4049.1692395388327	2609.429053913322	204.39568154279732	41641.835933853254	25346.967522589963
FUCCAT-PWY	16172.136951472217	865.2329428510691	4865.381945876366	9760.171094312976	1305.0978250942846	13793.14518617995	3601.376341373737	4892.257653208569	3001.353219543249	196.44583118437453	42412.562631493005	27494.44816049067
GALACT-GLUCUROCAT-PWY	52635.85571921659	8758.40473969275	45267.73345176968	22152.61231203191	17361.23089294429	26166.50453965122	8082.90288881312	5590.95579845339	2485.7835718476404	356.73862537326755	87653.43573005692	32941.164381936534
GALACTARDEG-PWY	1635.985706699573	298.18458121163496	915.8057293629829	5439.93333728739	370.2556603721267	5747.661629852378	1069.0955264292538	1195.400425768629	661.3609874741007	70.8158419290317	13513.407842526112	4152.6407801017285
GALACTUROCAT-PWY	55510.987444029444	11449.47999021473	54678.88250502715	31101.934220417428	23432.694436638474	34306.38259700698	10098.001581581884	7183.422163673453	2846.131197893989	483.76688755121984	111817.30515124896	46120.635528851206
