	S210421121682	S210421121683	S210421121684	S210421121688	S210421121689	S210421121690	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
K00001	24037.631498419687	36629.8188392969	98550.46921428367	26451.207182707356	8497.211163645785	8736.426645585896	18845.142281110246	51105.12714594187	24245.45011133438	10029.060534146529	1121.7561870525258	5694.986238955755	2755.688333881633	4242.141260630956	1092.1406692132093
K00002	404.70634917370757	1135.3827179739483	605.3981171325836	1256.0229070273342	473.36782604839425	573.534489600278	1376.5591993402131	946.4483607719325	1066.1633511459563	690.2288461707931	106.09044987950165	344.07156942279164	335.33609292357266	106.1172249981117	39.515720668094026
K00003	38756.34328573254	46840.98038210083	47306.522229691946	42001.10009024304	203220.40069772612	95471.74189545678	21459.716455056012	57567.96584791552	17745.425352017483	11240.92394034139	13630.653145913542	7638.902608561612	6662.209721977228	103587.53866770076	1126.8798629062744
K00004	3348.7386503994276	9404.66140694289	5527.08844756834	13377.256858462653	5220.446770661799	5602.290427293636	14487.094092249652	9056.847805967807	7930.498040587999	5456.552164976378	1079.2963742208037	2753.960542102119	3021.0528453639213	1827.7977170189934	337.4742566992486
K00005	16497.646079062193	22965.863086313235	9953.998657139859	19618.430858508214	106598.28336598042	50110.32257301172	9483.947454603378	29884.794430897884	9969.928894872106	6908.927181472311	7247.566030747208	2522.3577335552227	3441.895334626607	53859.98520984675	767.7712349272313
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0049005959475341
K00007	4.000289037365627	13.331312896117062	14.25034385556864	37.50563211938436	221.17319581394372	72.00377532726274	383.2537448038604	61.000966468175754	171.5009268342563	76.00123926157761	30.330582558643485	658.5005802400046	50.67101129637722	327.0039584001321	0.0002864041503155364
K00008	57991.29893866499	59273.052713196674	46012.607799180056	51422.57889976745	29764.25643501823	31822.155683341436	52633.87700030912	64079.99398873658	44519.828280802496	27757.809071129745	4018.0782754983684	12115.720176768724	10169.75720247289	8624.364529635412	2186.5329377432936
K00009	4986.491289778229	16402.642838977343	17724.177241761623	9481.461758689353	50093.93575466334	22086.578726046882	7839.330444643295	15591.400016142014	4856.861349748057	4631.232339410045	3767.5348145502485	1302.1340342216845	1035.0231951155051	27604.493270316405	338.33667437029106
K00010	10187.716083445623	18138.47711690836	23358.361220503408	27452.857950682162	12322.805902124168	14742.940433372207	23883.70101833825	20084.2528822772	13225.852144143128	7514.488961638011	1370.435075759233	8661.482962958404	5396.9228899607515	3374.0215518654672	594.9786815954385
K00011	0.0	1.033845189909776e-21	0.0	0.0	0.0	0.0	0.0	9.814857234239835	0.0	0.0	0.0	0.0	0.0	0.0	1.622277750315767e-05
K00012	40889.452950940235	48839.60728027335	154330.66557767312	31130.98509117507	60499.08899789261	31216.153364258535	16707.321298712122	67096.88425096683	28532.165390493763	10635.305240094855	4457.446363174945	6156.04517602742	5957.651554020804	32154.743537297883	1231.013168056738
K00013	47430.13601381216	44356.34404008621	72153.44785893385	39117.2829128939	78748.67483317114	43284.00630135303	18912.92845989397	59590.976677124985	27168.038019301825	11933.379376868863	5511.871475482517	6583.380325400254	6443.459669153566	37699.289243603256	1575.3231456363828
K00014	69137.55202171658	63910.85253252962	102461.22394809383	48010.34652722696	161657.24913178937	82655.68884768877	22014.954788704134	79297.12143137101	34683.42852393942	14022.765622829966	10670.353527691614	9123.275992790786	7287.092326348964	78206.4067743391	1692.1887072920867
K00015	449.1514681533896	281.05056829911524	429.33219695197846	373.8506738140493	484.9953437326159	255.74114974269196	1216.3724223881281	357.0188944120677	229.49666466073847	132.10825749014637	70.07319215302466	779.0126530128272	138.14837220242399	643.3122732957627	62.91134323628101
K00016	24495.280838804803	45538.36816039557	60614.899089173996	31566.621614305124	139979.5926755715	69292.44218208609	24874.43236938989	74332.0765590321	18134.133040280132	17763.565654633494	10019.90939611512	5834.603282168919	5774.489876920445	70870.87106384929	904.3306014651455
K00018	44684.57264809512	32612.1438616951	77323.29385582713	26805.665801693103	79402.92867606178	42842.11450038331	10340.65703571554	53711.97689944067	20037.437434227555	8380.147863239546	4688.451408480683	4623.506049494977	4593.035349686577	35511.24997125717	1163.726232437941
K00019	1051.1594195109913	553.27527391902	962.0642882886334	1733.61780245236	1614.3618948207247	1018.0599222156528	1544.6331414750493	1155.8257538417652	402.26235508247225	395.75245683460275	143.98351660305084	1320.1178903054551	221.25436322720515	946.0750442868494	109.79695832516302
K00020	3221.768714163194	4776.965590344407	7532.716151904863	14986.893380674308	64589.79159988391	27828.92093393925	6323.663235191201	6174.29001291957	4399.220685371875	2724.018856504364	4721.0892518398705	4707.098914509518	2160.5458144149293	36846.04966119932	286.517984127016
K00021	0.2033289314458681	0.8551588871652812	0.11870392202029846	30.127626923007192	1.0162745388033423	1.8898642987449845	12.296996612749247	39.65478785426405	137.8154306792373	484.9683020615292	0.38160399530212885	2.496926506194969	0.9838104835486677	3.29218582634378	0.8584685851237317
K00022	0.021198592289738256	0.09402199509781554	0.022609312632252035	0.443452989651882	0.22215822763703555	0.2693661342522212	0.28591061751525126	0.06131865247258846	0.05751180740281543	0.0826734282446496	0.039563148177105094	0.04097386851961887	0.06406181841093808	0.3070961845609676	0.0
K00023	365.61425666737324	136.82488589181588	151.78156231909824	203.08214267071185	647.6482192321406	502.7736462886283	957.3442102569521	313.9780906947424	295.8802858856824	226.91126500449906	66.8896917992034	1204.2605168141295	127.22112339092654	782.5106459190403	164.35411823254958
