Unnamed: 0	description	S210421121682	S210421121683	S210421121684	S210421121688	S210421121689	S210421121690	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	STD-NC	HSD-NC	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	52022.97349283739	47270.93945919663	108543.25837103814	35457.24635633704	88545.25068862223	49849.33916793985	14843.093091148958	75791.07883351021	30461.63414594373	13146.820995025488	5722.915406073281	5779.791510778913	5259.514742636311	39554.03741450954	1411.9214055925345			
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	20.409462642854507	64.98858735303324	74.12029792956592	149.9428633522529	720.731125514013	338.51168052421264	1264.9194207911823	303.71385696388666	522.0395829909103	305.14809419731256	95.264302373118	1388.5499693928105	230.50454669236643	704.5658647853544	0.9376641023438612			
AEROBACTINSYN-PWY	aerobactin biosynthesis	8.214692332768141	45.99832730085743	19.616340458822275	64.63242670310606	136.9341705273456	139.9232099558132	86.6996621229778	60.38267531982616	60.37323743704018	62.93622326606471	26.70901436051464	26.73953760956559	61.45017225291927	78.61834369762511	12.77030230511915			
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	235.5524280408836	783.4829627239777	461.8959696154468	992.5094548932284	1480.2443462725576	1412.212550832052	1168.4177855548892	1097.008581200154	1180.1018829309085	841.7286683923219	235.2918747659292	335.31468549229965	486.2212437346233	1229.8978109220322	134.00497173436185			
ANAEROFRUCAT-PWY	homolactic fermentation	46826.07542646989	50295.0628241675	110472.38853572076	33829.029283494696	59764.66093219077	44630.6850457392	20698.26165691153	77404.79947074638	29440.47393168758	15585.278131871712	3765.303909430378	6562.399757869743	5123.873345485052	14714.125390671985	1319.977151009486			
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	67716.25973708341	68106.75317556388	138342.13770289632	56130.839357541	136587.38481538088	77783.68295938682	29933.817232581325	97785.85747402105	41820.44378568956	20451.86818100971	9445.62003469094	9679.117556886187	8276.93010660179	60525.41585159775	2060.987609038749			
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	14792.5313892584	18244.019236170167	27322.891025616747	15600.481622450949	13529.22309894452	13033.047113261598	12006.23070093499	22699.520799597856	11312.573844114266	6402.905977792352	1514.137028501654	3909.5230219614286	3221.55266397021	5635.1167163070695	565.4229697876449			
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	8.315974890198708	41.30919355297117	16.488590293134127	60.17750110578922	115.76695108110653	123.90038877602542	252.7361163380422	70.87235572043599	59.16132524728708	56.31095270553631	26.003716568906665	29.615077713797653	57.84143774288288	219.3840282777672	11.237865614838062			
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	7251.588495025735	6941.363283173765	6541.078382255017	7847.319825351037	10560.985519619237	7821.046566293595	2998.001550312112	17250.951629108687	4651.100942767477	4284.028434109548	701.76562002984	1462.299893020466	2049.7165583516253	1889.9107585745471	216.1081605912348			
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	44412.84122040639	45794.435671414096	57379.66371008691	35918.05634992926	83291.58356079676	46450.47120162663	19117.28125470105	59284.56110901939	23301.609668422378	11485.498731525886	5618.422556304976	6629.98315085476	6271.379972728296	38831.1649497322	1301.6756170174815			
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	43564.99055153567	44772.89417116801	50419.976805374485	35750.29266043451	85685.07109503524	47495.64671617743	18286.32007379928	56628.971706857534	22126.895748115345	10797.704561230174	5732.038008474874	6735.542912068766	6380.245807513873	40209.21953671602	1281.2251655052178			
ARO-PWY	chorismate biosynthesis I	57725.7986500108	53129.46063948771	87594.60706213437	42701.52656690929	105970.00142964796	60838.150068286486	20482.52976680841	74530.47303511004	32131.63934304161	13758.686998029209	6683.195615058125	7400.722751385165	6925.365054854564	46387.625591236974	1612.3507072124469			
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	44773.66930162573	36686.227854607445	112144.9835500398	29735.684677416943	88332.65153925761	45868.47367005458	11690.238729834387	68871.20034858414	26019.35606295924	10786.73994870541	5745.993442170868	4813.486103203097	3886.712429620972	41352.37594089682	1259.661465387537			
AST-PWY	L-arginine degradation II (AST pathway)	15.871398855204651	75.80774176779366	47.50738841152049	139.67559141973794	413.72266803771896	368.9735637687378	456.16589828741	111.68189104467004	137.22025514549702	144.51400208687957	57.1310854635148	255.20163652671496	102.8294620843606	341.77826578500986	75.57544738111427			
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	23936.71923080164	17442.582451538157	67767.57789746436	18934.470339775133	5490.985531074956	4911.787155555192	4410.0516941860815	34216.656072820544	19036.6557963586	6216.024715350621	385.663518413083	3861.09346850548	1129.3221074683013	3045.095888984311	886.4065585059741			
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	61846.39507018192	59069.19224125648	99271.5491007775	49269.62043545325	114678.56316112875	62780.73118851834	24431.37858519148	80592.44521098811	35315.75000326725	15756.138058906115	7879.835483498782	9082.144319810946	8203.715394863582	54087.30195068174	1873.483236081484			
CALVIN-PWY	Calvin-Benson-Bassham cycle	66769.71067886484	59351.17963437268	128573.42193691776	43475.34654735067	73508.30964092321	54410.67809693064	29580.889227764343	91651.83959446184	40742.42002843585	19803.634138216243	5085.80234654052	9654.284391119323	8007.5650941423155	21274.11194104343	1951.235245248528			
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	13.083904591828826	48.52872368593257	50.45237298366138	153.26898559663414	658.3879620312687	334.2773611692199	867.6148465436207	174.0984370557017	372.7415206750986	370.9965230615233	91.7740355888002	1188.7113302535604	103.4086737513774	763.039422289324	0.3471785301528301			
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	6.507469105094471	2.093912363674507	29.65218953495677	5.376418867726455	2.905585219911832	3.363678239453191	14.66776078140546	2.761651348296761	0.8450670099460901	7.619883188350223	0.4692480062040882	0.4861623853212999	0.7620790887096343	12.367179364435982	2.135722429640412			
CENTFERM-PWY	pyruvate fermentation to butanoate	5932.792381982179	5201.944643480197	4644.757393764449	7261.049033989819	8762.981006634545	5985.106291047931	4276.713686172584	11163.762879077993	4489.87755658837	2301.618258601463	1288.0636013182568	2331.0729745521726	2620.5075027896496	8214.542139945912	426.1598754065687			
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	27.83954190058756	25.5191841851354	52.522798014804	47.1868576711027	24.99425188900472	46.03138638369392	323.12209422785713	39.57466215047732	25.216785054980488	19.171749665851465	21.09979416076627	56.10395307707041	44.48242322316485	96.49651149780944	4.662646759391096			
COA-PWY	coenzyme A biosynthesis I	49832.27549000534	51687.6571562192	116755.18187287892	39979.85510369113	86777.63946416782	49559.29268590734	20368.626867835927	78713.70864608252	33512.410758673795	15218.921273605223	5908.947808403564	6336.491815351014	6459.047659100519	39381.73603746449	1485.2033329873054			
