	S210421121682	S210421121683	S210421121684	S210421121688	S210421121689	S210421121690	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
1CMET2-PWY	52022.97349283739	47270.93945919663	108543.25837103814	35457.24635633704	88545.25068862223	49849.33916793985	14843.093091148958	75791.07883351021	30461.634145943735	13146.820995025488	5722.915406073281	5779.791510778913	5259.514742636311	39554.03741450954	1411.9214055925343
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	20.409462642854507	64.98858735303324	74.12029792956592	149.9428633522529	720.731125514013	338.51168052421264	1264.9194207911823	303.71385696388666	522.0395829909103	305.14809419731256	95.26430237311801	1388.5499693928105	230.50454669236643	704.5658647853544	0.9376641023438613
AEROBACTINSYN-PWY	8.214692332768141	45.998327300857426	19.616340458822275	64.63242670310606	136.9341705273456	139.9232099558132	86.6996621229778	60.38267531982616	60.37323743704018	62.93622326606471	26.709014360514633	26.73953760956559	61.450172252919266	78.61834369762511	12.77030230511915
ALL-CHORISMATE-PWY	235.55242804088357	783.4829627239777	461.8959696154468	992.5094548932283	1480.2443462725576	1412.2125508320519	1168.4177855548892	1097.0085812001541	1180.1018829309085	841.7286683923219	235.2918747659292	335.31468549229965	486.2212437346233	1229.8978109220322	134.00497173436185
ANAEROFRUCAT-PWY	46826.07542646989	50295.0628241675	110472.38853572075	33829.029283494696	59764.660932190774	44630.6850457392	20698.26165691153	77404.79947074638	29440.47393168758	15585.278131871712	3765.303909430378	6562.399757869743	5123.873345485052	14714.125390671983	1319.9771510094859
ANAGLYCOLYSIS-PWY	67716.25973708341	68106.75317556388	138342.13770289632	56130.839357541	136587.38481538088	77783.68295938682	29933.817232581325	97785.85747402103	41820.44378568956	20451.86818100971	9445.620034690939	9679.117556886187	8276.93010660179	60525.41585159775	2060.987609038749
ARG+POLYAMINE-SYN	14792.5313892584	18244.019236170167	27322.891025616747	15600.481622450949	13529.22309894452	13033.047113261598	12006.23070093499	22699.520799597856	11312.573844114266	6402.905977792352	1514.137028501654	3909.5230219614286	3221.55266397021	5635.1167163070695	565.4229697876449
ARGDEG-PWY	8.315974890198708	41.30919355297117	16.488590293134127	60.17750110578922	115.76695108110651	123.90038877602542	252.7361163380422	70.87235572043599	59.16132524728708	56.31095270553631	26.003716568906665	29.615077713797653	57.84143774288288	219.38402827776721	11.237865614838062
ARGORNPROST-PWY	7251.588495025735	6941.363283173765	6541.078382255017	7847.319825351037	10560.985519619237	7821.046566293595	2998.001550312112	17250.951629108687	4651.100942767477	4284.028434109548	701.76562002984	1462.299893020466	2049.7165583516253	1889.9107585745471	216.1081605912348
ARGSYN-PWY	44412.841220406386	45794.435671414096	57379.66371008691	35918.05634992926	83291.58356079676	46450.47120162663	19117.281254701058	59284.56110901939	23301.609668422378	11485.498731525886	5618.422556304976	6629.9831508547595	6271.379972728296	38831.1649497322	1301.6756170174817
ARGSYNBSUB-PWY	43564.99055153567	44772.89417116801	50419.976805374485	35750.29266043451	85685.07109503524	47495.64671617743	18286.320073799274	56628.971706857534	22126.895748115345	10797.704561230174	5732.038008474874	6735.542912068766	6380.245807513873	40209.21953671602	1281.2251655052178
ARO-PWY	57725.7986500108	53129.46063948771	87594.60706213437	42701.52656690929	105970.00142964795	60838.150068286486	20482.529766808406	74530.47303511004	32131.63934304161	13758.686998029209	6683.195615058125	7400.722751385165	6925.365054854564	46387.625591236974	1612.3507072124469
ASPASN-PWY	44773.669301625734	36686.227854607445	112144.9835500398	29735.684677416943	88332.65153925761	45868.47367005458	11690.238729834387	68871.20034858414	26019.356062959236	10786.73994870541	5745.993442170868	4813.486103203097	3886.7124296209718	41352.37594089682	1259.661465387537
AST-PWY	15.871398855204651	75.80774176779366	47.50738841152049	139.67559141973794	413.72266803771896	368.9735637687378	456.16589828740996	111.68189104467005	137.22025514549702	144.51400208687957	57.1310854635148	255.20163652671496	102.8294620843606	341.77826578500986	75.57544738111427
BIOTIN-BIOSYNTHESIS-PWY	23936.719230801642	17442.582451538157	67767.57789746436	18934.470339775133	5490.985531074956	4911.787155555192	4410.0516941860815	34216.656072820544	19036.6557963586	6216.024715350621	385.663518413083	3861.0934685054804	1129.3221074683013	3045.095888984311	886.4065585059741
BRANCHED-CHAIN-AA-SYN-PWY	61846.39507018192	59069.192241256475	99271.5491007775	49269.62043545325	114678.56316112877	62780.731188518344	24431.378585191476	80592.44521098811	35315.75000326725	15756.138058906115	7879.835483498782	9082.144319810946	8203.715394863582	54087.30195068174	1873.483236081484
CALVIN-PWY	66769.71067886484	59351.179634372675	128573.42193691777	43475.34654735067	73508.30964092321	54410.67809693064	29580.889227764346	91651.83959446184	40742.42002843585	19803.634138216243	5085.80234654052	9654.284391119325	8007.5650941423155	21274.11194104343	1951.235245248528
CATECHOL-ORTHO-CLEAVAGE-PWY	13.083904591828826	48.52872368593257	50.452372983661384	153.26898559663414	658.3879620312687	334.2773611692199	867.6148465436207	174.0984370557017	372.7415206750986	370.99652306152325	91.77403558880019	1188.7113302535604	103.40867375137739	763.039422289324	0.3471785301528301
CENTBENZCOA-PWY	6.507469105094471	2.093912363674507	29.652189534956772	5.376418867726455	2.905585219911832	3.363678239453191	14.66776078140546	2.761651348296761	0.8450670099460901	7.619883188350223	0.46924800620408824	0.4861623853212999	0.7620790887096343	12.367179364435982	2.135722429640412
CENTFERM-PWY	5932.792381982179	5201.944643480197	4644.757393764449	7261.049033989819	8762.981006634545	5985.106291047931	4276.713686172584	11163.762879077993	4489.87755658837	2301.618258601463	1288.0636013182568	2331.0729745521726	2620.5075027896496	8214.542139945912	426.1598754065687
CHLOROPHYLL-SYN	27.83954190058756	25.519184185135394	52.522798014803996	47.1868576711027	24.99425188900472	46.03138638369392	323.12209422785713	39.574662150477316	25.216785054980488	19.171749665851465	21.09979416076627	56.10395307707041	44.482423223164844	96.49651149780944	4.662646759391096
COA-PWY	49832.27549000534	51687.6571562192	116755.18187287891	39979.85510369113	86777.63946416782	49559.29268590734	20368.626867835927	78713.70864608252	33512.410758673795	15218.921273605223	5908.947808403564	6336.491815351014	6459.047659100519	39381.73603746449	1485.2033329873054
COBALSYN-PWY	22481.458875305478	27049.80421979756	63027.492205555194	23434.5964367345	73524.3891183106	37147.86903717052	14867.71607434526	35959.688729010326	18369.067383273756	8680.800180661796	5241.163568544213	5058.0728677101615	4805.8414820213775	37236.20556595831	799.3638669995994
CODH-PWY	1158.9837207683686	1262.9294723786109	4544.707739645303	1048.638635601344	774.1206241101958	1287.7522716014118	1111.5398042289473	1951.7092693134057	559.7142454660473	376.76766552640504	95.24110352282787	306.64810204660074	371.4416484745458	545.793017867671	35.24223943915383
COLANSYN-PWY	30064.636291743795	26452.35716479264	73124.03520390132	26449.140501875157	11467.112827644269	11290.052289676923	8810.672032511238	49884.76769755261	22736.356308387964	9625.125559681264	666.2149295310876	3537.6591807679456	3411.0380895760336	4648.862461991457	1078.8849769643966
COMPLETE-ARO-PWY	59934.44449805629	55026.63262990111	90663.27737463152	44726.5495648886	113585.55464052572	64797.69982833607	21303.305721549496	77389.86807665271	32969.95562827833	14229.596909876713	7165.058752310645	7652.779929759115	7262.736096274039	49919.47595170623	1668.468506471606
