	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706
1CMET2-PWY	52024.72292597404	47288.26383308979	108507.77169644627	65270.190476718664	20892.253686243625	24864.700089139784	14859.672837927299	75815.44660884442	30469.71812997447	13144.586591140423	7353.365089511376	1642.1503815566255	115766.91921430455	93543.83848553816
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	20.409458242364295	65.03682343470686	91.65497055210895	26.009577373549607	0.33705107180206606	3.7318095303382433	1281.1975172250789	303.71919707088523	523.3365331400365	316.18240337876637	487.5127408981778	0.17427904435037936	275.9356213238831	1024.5134850616996
AEROBACTINSYN-PWY	8.214692320439543	46.000728989614345	19.616340461625192	57.836158167426696	2.4866416226556645	21.459456913217632	86.65218071042788	60.38267525858574	60.37323738997263	62.93622324913218	83.52686333629588	6.722286893383729	48.84349348979155	100.85905489737534
ALL-CHORISMATE-PWY	235.49343457935004	783.5992131374549	462.17891418529905	1156.633998382454	62.60592905056494	415.7237484712216	1164.1154036427736	1096.8533401976158	1180.8792697517513	844.9945647866303	568.9932466696689	40.111270879916304	734.3568960914441	1554.8887702592842
ANAEROFRUCAT-PWY	46829.275135867174	50318.09832417178	110400.65452416762	68021.06133528388	20773.122215506322	26187.5859359373	20720.66177542167	77427.11094700002	29449.233974935807	15575.696854962	9708.354132813123	1740.265409165935	103915.78324154818	93688.22784807476
ANAGLYCOLYSIS-PWY	67713.09459254245	68130.85902577582	138276.9485406096	89552.71674541109	27035.774514174158	33641.23823428569	29949.784114453654	97817.05925878452	41831.924773546336	20422.105009303163	13283.723689705714	2544.976968070303	154038.49983249418	137104.2272263469
ARG+POLYAMINE-SYN	14802.609442836492	18247.99994014993	27263.20474531776	23248.027923073387	5210.518260390019	8147.927502215406	12016.327249900189	22714.431115565403	11316.670590072505	6384.201617508914	4802.476210896868	453.6634844685383	14152.02659983255	41633.00245947707
ARGDEG-PWY	8.315984562894005	41.33310000594161	16.48858473530068	52.97232815173474	2.2468622978276387	20.91154120266402	246.07251448015234	70.87240729908453	59.16152977140833	56.31079883872712	82.93631433038287	5.577077207221894	83.71429383458262	97.21951765857791
ARGORNPROST-PWY	7185.694703418956	6943.869298645173	6540.479448123602	13016.653445468315	2793.2578968761172	4033.683182759619	3002.264564403347	17255.373481229253	4652.844373415874	4284.920361354247	1792.268982352705	195.07977008543693	27545.254623063352	16620.67971196349
ARGSYN-PWY	44377.844667751764	45810.87476324617	57307.8864423489	56642.481508645804	13896.34966374046	18857.602621680086	19132.811051823373	59308.46034614651	23308.08023783362	11476.117801028095	7529.004538020132	1208.8466903404196	83558.72153313614	87190.56977628217
ARGSYNBSUB-PWY	43527.32400354464	44790.36506391732	50339.77919408635	54252.7589277922	11872.601738774065	18023.17052236556	18307.146039273015	56651.67921655379	22133.608961716516	10797.914010976725	7060.508598317811	1153.3027731454333	72110.2190777578	83239.63476488902
ARO-PWY	57716.82894158534	53147.71122156469	87508.9512075823	68693.61310753455	18884.478233386228	17899.241817440157	20499.69653093016	74553.80084232736	32141.312115792796	13743.379181997936	7663.76860862344	1027.145026092629	107961.20162945021	105473.60397834174
ASPASN-PWY	44748.565789355715	36697.43243987002	112113.16155122778	61905.72333294832	20305.593263005918	20987.772110394984	11694.335370757532	68893.58081230978	26027.135855820314	10792.256035616603	5962.697920861189	1413.7337152468713	121118.21518971436	87496.19860527474
AST-PWY	15.871398866607093	75.81021086358841	47.50738847464017	80.46312255075829	3.305691562376747	28.580661111289402	455.4452493906951	111.68189086479082	137.22025501229504	144.51400213624868	199.94381802402742	8.94922128257805	100.34274473517733	229.19462847872154
BIOTIN-BIOSYNTHESIS-PWY	23940.562222640612	17444.73179818925	67732.02680462555	39458.63632477133	14405.50730343599	4895.821881847122	4423.143278140666	34221.65959808043	19040.7885387118	6218.8660499131865	1520.547376390954	319.9039700512305	88640.1141052047	64006.553570287644
BRANCHED-CHAIN-AA-SYN-PWY	61828.93649655634	59096.24977827496	99217.39490097619	79622.65491194524	22661.800882363113	22880.06958312427	24455.37135511385	80619.91676623211	35326.310075348265	15743.127692718364	9479.000529770761	1346.889045485137	135564.87846491946	122637.70228678324
CALVIN-PWY	66776.45997147089	59379.81324008588	128502.098142391	84643.01261768451	25672.635464640905	27236.17351432115	29613.57276808799	91681.64351220081	40758.35136151612	19780.891540396453	11333.371376032042	1643.9782952410615	175086.49835647282	119999.33920590079
CATECHOL-ORTHO-CLEAVAGE-PWY	13.083905099881438	48.53859395840941	51.10633999123052	14.048254254729356	0.03720126588408685	1.5381990438166666	872.553305602279	174.09979334524144	373.12742597414314	373.88687153184134	380.12421803815556	0.0	46.10435155553855	508.18725716173617
CENTBENZCOA-PWY	6.507470492768231	2.1234356291263987	29.652273496893752	13.415630862083402	0.10850910167954635	1.470040625447152	14.678605698304622	2.7493357385566815	0.8450675623034256	7.619883436373191	1.2131251845563968	0.0	59.30007385422616	2.371319052962192
CENTFERM-PWY	5934.0251051551195	5205.378909394566	4665.07095332562	13585.62555279678	2633.6796556104173	3355.925976378021	4287.22461369419	11167.304240391335	4496.607816983849	2326.781588645241	2567.382976116813	171.64028138206598	13408.112164896835	13718.909284904821
CHLOROPHYLL-SYN	27.839545395417574	25.65121105425607	53.67464745911673	20.08405193745752	0.5541749675619714	19.51911173046013	321.95665272625945	39.57423217196239	25.218073089330055	19.179417535180363	72.22739973768194	0.0	225.09721093198584	98.07255225431221
COA-PWY	49844.40730195149	51705.32152057618	116707.0019665817	68843.46026651806	21973.570677459396	27739.118229063177	20384.30191447893	78737.07269218971	33521.225668992956	15203.857707914465	9194.909009701307	2078.998714168575	119472.09390679027	104966.0762643166
COBALSYN-PWY	22476.525761011606	27061.425563679608	62990.88248753459	33256.301357641154	8965.94426393626	10781.317553859813	14883.38479149462	35967.44448504919	18377.56964822147	8668.340110254227	6127.323511761416	592.1557761139862	68181.1468042288	48071.10726862881
CODH-PWY	1158.9794024619885	1265.3307599988952	4544.61333621624	3222.0086067058255	434.8477694827207	280.01412463617373	1112.8156550754468	1950.2374975471535	559.7160366084217	379.04370272044287	408.9165209877617	6.136885534971538	4635.0258981807865	5626.3205389403865
COLANSYN-PWY	30071.672628394786	26455.173576668036	73112.65853201653	41729.417800631025	13482.177868687797	10307.181057537971	8832.8105124889	49893.448887000246	22742.152536337006	9624.199691703576	2549.69522023846	751.656373628438	44195.99982069139	71183.07515618326
COMPLETE-ARO-PWY	59924.10734318245	55045.46501428249	90575.62480488366	71533.70394230241	19573.169093729066	18710.591081081577	21320.538788805185	77414.72148098021	32979.82936371492	14214.057963970488	7987.45900765092	1077.825458570766	112768.64683742418	110300.03756058539
CRNFORCAT-PWY	2.5066338797932666	11.336222861540277	24.01664253483731	12.653402799143707	0.6688504571800429	12.563833637406896	218.15344678859034	22.20968261278249	35.8937303042746	34.9796043413478	45.611378225317054	0.0	78.70568475124851	49.89272715761235
DAPLYSINESYN-PWY	45305.326033975995	48478.57634456727	58258.87783264018	59357.66477130779	14288.544038250511	23606.541868741177	22182.05565610599	67224.5948938693	24058.922619153895	13711.198891370455	9248.992767497455	1478.1411383788725	93076.40643128485	92420.9149395519
DENITRIFICATION-PWY	16.403138324524598	33.41680261685725	282.69892367109213	24.938062070595226	17.822110471357245	16.78197447659327	126.4779253738379	41.18235642243507	19.62911321704953	69.42833591446606	38.78651836067092	1.1285561920909317	120.46729360793056	1093.5600886265286
DENOVOPURINE2-PWY	26074.31235624312	33850.7991051913	92922.84866657041	45585.00533737099	16115.789371274459	26970.131662875214	15649.679975414947	59849.56973263158	24422.603707641047	10434.667079795718	7990.51357691814	2262.199404237995	101749.52106186237	76385.07965660102
DHGLUCONATE-PYR-CAT-PWY	0.000717091021785749	0.0032444069003763364	10.766309575111595	0.002078930194241873	0.00019113933267852736	0.003598480456757199	190.30769474422095	13.186720527279041	15.565519460972347	39.27961499179412	57.21277199557445	0.0	0.001816425685907313	98.18598742371489
DTDPRHAMSYN-PWY	49112.09042499259	48545.09716209771	120260.4141181793	63249.621077197495	20525.550556936887	17115.656493240676	15951.399592660837	68403.40689606557	30671.537652458603	12437.708672965442	6511.063859973838	1048.2339638007181	134737.7196235153	90246.6466358704
ECASYN-PWY	37.31798080286927	160.0905629232096	54.597490170276274	169.28646813762154	7.5118850204936924	80.88822223685216	450.737555050772	248.77236930444835	368.19197550365885	247.57098385627387	232.72604705059157	19.20625543530511	247.11361732638167	503.18346353247676
ENTBACSYN-PWY	357.50848487863624	533.4482854870648	498.44437402776134	948.6422792554796	60.06431787705956	560.4107553438525	972.4378863238389	715.3999092033224	926.8701878624515	688.3992512530914	575.3215367890705	47.48745740874523	384.52206694713465	1290.4425834710182
FAO-PWY	4013.4298217769046	3420.8425613922427	3041.4071439988747	10985.102758281775	1904.5971565186596	2427.9824169330636	4222.083430493652	8427.387495805111	3073.5103738445027	1873.8226677510252	2175.9598007954564	119.22862936152814	2204.5006907266734	9912.608171240581
FASYN-ELONG-PWY	42331.74694114716	37682.47485392329	121422.44044529363	61734.58981209009	22901.83667357819	19031.010306994358	12876.709045287715	73407.42188221499	33526.87749188105	12042.606579966006	5767.784098203471	1420.6103987607946	128162.18114350166	92709.72832202156
