	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
EC:1.1.1.1	94972.04504290345	30658.4641712181	71763.37552807375	95402.6000114512	38893.01518599129	80008.98313576088	19638.21645804929	5734.743713034591	165919.61984627447	154997.68799252066	43576.56753342735	10033.313295296066	23134.02722163899	2746.0648038401323
EC:1.1.1.10	0.267301963300848	0.08062360046762129	0.5974715679064747	5.081690065458652	0.003496992333465163	0.0012141108316932633	1.7838075580842678	0.0	6.092000246901987e-07	0.45082184729129	5.3548428245629225	0.0001746357986556728	2.153386975738972	0.39302614247728834
EC:1.1.1.100	165987.30260486712	49930.02830780282	73290.49672740781	197326.8467133558	71839.55062506086	139695.99757472158	26813.828733315862	4871.289869885894	314625.3768418486	254908.13096566044	83795.5456862574	17400.21344823033	47903.60440919782	5509.75573095934
EC:1.1.1.101	1.0105410720234493e-28	9.369961633290652e-30	1.748155202718837e-28	1.2446814958930681e-27	5.743431716512813e-28	9.247254786066266e-28	1.5226715512337852e-28	0.0	8.81903293146688e-29	2.948947947000886e-28	5.634080716605367e-28	3.4328701306822094e-29	3.3867507204159013e-28	4.837320950104171e-29
EC:1.1.1.102	0.4232216407937673	0.02544328698055043	0.651442002178309	3.9527444924348503	1.651017862827843	2.8889114544115637	1.8999534317089084	0.0	25.331798312372936	2.4261206889843776	4.455464264658316	0.7027559225284989	1.3523696151224813	1.197686460044161
EC:1.1.1.103	13235.420125693181	3276.6329035474764	3073.344106727147	19792.34367153584	4205.357922111615	5415.478609000176	1671.6459485529695	210.54448695196405	22821.45329134832	11501.605166507468	5684.388146991001	1115.7915499852381	2223.1543135466586	296.45563283161425
EC:1.1.1.107	266.5615000888124	72.94204441563863	192.41088364787402	282.30182923905653	676.7515826127275	272.1679533880814	115.16412352596723	32.19299444767201	86.16776141408425	1876.7742390115018	703.8957452725246	122.01695225958508	235.0462467541737	19.343000095798526
EC:1.1.1.108	3890.207821117083	596.8393897525095	419.4363430306654	760.839058771875	391.21366276080073	388.21890954839785	184.3269197650548	22.367949626810727	438.3529171769793	1299.674178160927	790.915547849958	197.26657348256413	176.52939956619772	28.37470661135131
EC:1.1.1.11	3.500955793615592	7.827930726009465e-05	0.0013654257276272531	31.259361129045942	30.00450868376397	74.25735195250485	228.50141620678954	2.5554609536353353e-05	24.871062235200572	167.2524946607675	153.0043543562429	76.75050576048304	38.25267384853253	33.67041332892708
EC:1.1.1.122	508.89597103537756	245.59206593298813	264.00234446584324	1440.5160806209988	727.6528697094266	823.9869180473106	765.8483153711692	14.944445591425383	64.4226913155404	1957.819547627044	576.3915277031324	229.74431959894594	625.2967639349998	29.904630310873035
EC:1.1.1.125	15117.055928864538	3340.010512192892	5974.560226543261	23489.61458743091	8860.726051383652	9002.158758766484	5332.829329052982	272.15056668536215	74605.36788463384	32598.451017965606	15125.608938778158	2095.919709796251	4573.455660361851	414.80257440243486
EC:1.1.1.130	6359.829631849503	874.5207693001287	1470.1563614494144	7353.214445695103	1256.652930138666	1477.9149383045765	563.4307831780462	39.565089607636985	38608.305618512044	8354.180950773185	6030.2230133920775	441.0924407725589	4217.260610502588	677.474788486758
EC:1.1.1.132	740.6879508669997	163.86801058408983	53.08166991450958	367.68268423300077	499.48307101387934	1155.5030372399094	88.27377605289388	0.9868176875083274	1124.1566040340745	1504.538473680922	85.99881251150819	461.5506779716464	1503.2801234855006	44.6815655921576
EC:1.1.1.133	58568.897753875666	20525.78882803552	13572.479630904903	74902.95863743029	23658.74965630483	58534.05409211661	5593.8788743901205	787.6102129094689	148774.0202211475	88736.48470851553	20413.087716806862	5567.329787664847	15655.461369744935	2186.3594137873215
EC:1.1.1.136	4339.631676024825	952.4721074893314	1643.3209875662862	9745.058249105914	1574.199873370307	2455.5979393346392	910.914483649714	69.14656435985177	5197.184550702108	7527.044432852742	2510.1015343502995	702.5351427605002	646.7016957947266	33.31610105331808
EC:1.1.1.137	1451.1521478759473	124.29729064346571	1868.9785299635073	6365.940736162576	10351.583660542687	31768.834051650367	1016.6462696637286	22.414693696649337	910.5377197927767	8678.189014040616	1053.4329709785309	491.1153300530335	130.18573825181258	4.7840213311334825
EC:1.1.1.14	85246.75673617418	22030.292939246305	22088.791199907	114083.53795541069	34623.202613033565	42853.43449791962	18809.408093131227	1239.0875875225763	132432.14999814454	114562.98324933488	48656.900841670344	8065.760801142727	19278.631554842872	2197.8678394258022
EC:1.1.1.140	8072.938679681406	1789.4793089581522	3212.303749171345	11350.428099262273	5543.99075144173	8323.096909689324	3913.5463970363758	88.92063125182102	2718.111029560406	19450.59785066161	6094.962743175448	927.5114655461023	444.02557527598145	44.88060235089286
EC:1.1.1.141	10.780698987795361	0.14275166825338764	5.40989958056516	68.04274812304982	8.252124328889842	0.0021496974293318144	3.1583990702796023	0.0	1129.2346564923373	0.7982224858805499	9.481252908669742	24.73810693419508	3.8127741926548793	0.6958897541218056
EC:1.1.1.144	0.16385679796990626	0.015191905944807318	0.28343562605712896	2.0181817308742107	0.9312274774861766	1.4992956263392023	0.24687806837865447	0.0	0.1429866247722845	0.4782376091499924	0.9134775640822156	0.05565854182451679	0.5491480805774185	0.0784294832518115
EC:1.1.1.157	57259.85115513694	10862.040762024659	17992.092429876615	52661.44344721535	28615.76352996197	54951.672622730715	7004.513658565527	885.9873617003506	22960.383521134638	69277.08475653228	28431.356188903308	4518.767732277025	6970.346868644461	693.1416031301392
EC:1.1.1.159	7749.609431775902	2136.0679419312446	2810.2770584054642	10490.584757343982	2139.5630933587954	4602.8476955566875	368.71514999088174	140.4399089951838	3475.988583050267	7866.094974364552	3384.246417921747	473.30558859969767	2714.026835429172	375.5532800945589
EC:1.1.1.163	36.71768405185692	0.48206234294963984	18.238251074231364	233.14075160665175	28.51818942002403	0.16419052249024313	10.688036560837796	0.0	3800.780318870874	6.169578383520584	32.0312817444172	83.26906967137441	14.117005634986082	3.0284595117707562
EC:1.1.1.169	40872.01685435967	8709.713282508768	17438.632437855653	52124.27661506954	16215.10837993831	20562.030827308085	4661.202304279915	618.482624907587	96997.29755850804	73720.4357129494	32106.430131418012	3512.589823580287	11039.923831310009	1488.7667330750576
EC:1.1.1.17	9958.97059909617	2470.890808706767	14335.277456768068	14331.365336691826	12271.990303804292	33404.35705661187	4724.838003593631	1169.8172128917865	8727.245598900388	18139.94172944727	5150.1637463916595	840.9112076259469	572.9132365589132	55.514127766436005
EC:1.1.1.173	0.10679770041828668	0.00990252037395465	0.18475147699914943	2.297628108144564	3.0052338802246483	2.2102620157842296	2.3309629725534307	0.0	0.0932027864149941	16.74997108355224	2.650951150949996	0.03627983522306325	1.4312421592353513	1.0333254734957344
EC:1.1.1.178	2.4401138770841477	0.22625278716635883	4.22120177748906	30.054835718820282	13.86843921690986	22.3289833071619	3.6767352513115754	0.0	2.129497279654861	7.120708902872475	13.60439364792284	0.8289216812665039	8.177854082233491	1.1680489101372378
EC:1.1.1.179	4.401555862571734	0.6831460512008192	8.583112146842712	61.96875354178023	5.718922005909249	1.1548117321254312	0.00021934429975020166	0.0	2237.4601393150206	14.674142992197465	662.8009584841889	4.6290002794947736	430.31730414170715	38.421165724317774
EC:1.1.1.18	20703.69969542478	5341.778030892001	7140.933115480991	24465.233179048675	17161.685296846386	11547.959107275372	6270.8417281868715	641.0000877897655	33526.211147941096	61212.64310208774	30431.62049842893	3401.6598822528176	10677.866561349521	831.5133096182967
EC:1.1.1.184	0.0009150040355249976	2.863803453784509e-05	0.0012541978421870233	0.006137755329127292	0.0021278464104876023	0.0043655194734984705	0.006519927110796639	0.0	0.00026954194645196735	0.0075214943605519825	0.013638041005878822	0.0025876107258398086	0.002797641276499941	0.00027199432487793235
EC:1.1.1.189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0562437943301406e-10
EC:1.1.1.193	45073.10573917855	15042.273204176166	9079.291398529429	46767.058202397355	18502.943783910734	47116.010344476075	3833.269380080016	449.59419721360086	86555.77139320044	67657.74863322533	13794.01365607338	4698.134670497806	7182.713138930091	692.982274898949
EC:1.1.1.197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0562437943301406e-10
EC:1.1.1.2	1429.9141825653976	365.7842622713073	557.0342758122051	2422.217819855233	732.0378426009675	827.570068984409	568.339251946531	13.398824097122114	3406.262216724455	3049.898791875091	1588.3540229770308	181.4236224450097	438.2779243086107	45.597154000207325
EC:1.1.1.202	3007.7184273597554	754.1004607281579	2976.5181238095283	2588.7863179379056	2098.4971825268685	1885.8627666863038	337.86098329671853	96.95027660394166	2445.27635269765	9924.48237567583	2987.2319667780785	440.96334037132567	469.905092217024	36.38293833587086
EC:1.1.1.203	95.99228046338028	4.752311335962958	0.089397486708619	139.05267256635935	562.7923903648766	1373.734139278709	518.1614968803121	0.0	133.09345157751162	577.7901551243132	378.3766946606692	163.7308571344048	97.45532297830499	74.79733012180458
EC:1.1.1.205	71880.16966355103	22802.08627147268	28604.982341965624	74941.95222849029	28929.260134600667	64490.53692730912	9244.837135793221	2160.788675489509	131917.20524519155	114231.98371169536	30071.57460971112	7167.443188495519	16170.0524175203	1740.715961388732
EC:1.1.1.206	336.91681002444057	58.23056747536972	253.1759062828609	976.1799343946261	564.1794552996095	218.3234720316837	185.6220513479133	21.863460309566676	16237.547882993113	1473.8265710776852	1180.5449716240507	355.92073789003894	432.6584194482148	56.86352924635412
EC:1.1.1.208	0.006152804553460769	0.00019257207888216766	0.008433661377155947	0.04127239604513301	0.014308377422621418	0.029355267356117966	0.04384225168200999	0.0	0.0018124935531314936	0.05057713731708379	0.09170691881496437	0.017399992173145	0.018812310456229008	0.00182898214128329
EC:1.1.1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.27633969554154	50.23564502694587	0.0	0.0	0.0	0.08139111407369513
EC:1.1.1.215	125.06901030647187	15.119985113453764	45.52937395339403	205.0509736419766	184.45318588625946	334.19130209393046	573.660860620419	8.93017195081744	202.55195623890677	541.2592675026024	400.9615384563705	216.08489314172192	423.2387232461203	89.48862034974385
EC:1.1.1.216	7.071318007265982	0.2281280473570199	9.714441941241276	47.74354895079815	16.386146269145232	33.61748541339121	50.37579687538558	0.0	2.075650314907915	57.96292962866473	105.5264178033671	19.92632083877886	21.74656964636912	2.131563711883144
EC:1.1.1.219	3524.8693869719978	759.8966714431431	3203.62949254731	4988.055208722517	2670.723043056062	3749.1319521345113	443.1922119192516	80.84046053324852	4844.376923339169	10663.633914597503	3777.6063197938583	435.9673609969589	3250.5801318379044	492.88818659464135
EC:1.1.1.22	55754.111681718336	22208.807905565736	36355.357549217515	58668.30429727122	19320.48162782409	47252.170549560775	7736.989471576399	2907.059712078105	160764.87964355183	81482.20256220498	18415.08452246651	5869.663658648713	13232.544749915865	1566.2648222361054
EC:1.1.1.220	0.024668238861627476	0.0	0.041803522402882244	0.18476543754547875	0.02759163867345816	0.1889479795983601	0.1045088060072056	0.004182542052881356	0.0	2.746397259927859	0.05309200632047564	0.20817453416605555	0.00793807065010205	0.0
EC:1.1.1.23	67144.05448507374	18194.664361380062	15077.655313955325	68261.7658117814	25068.01895625906	53963.05605846716	6852.310400494247	901.4465829511521	99615.73672221863	101092.00073082496	27206.901921008117	6564.13347244304	12585.283080293648	1549.0413719080693
EC:1.1.1.239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014339837878313616
EC:1.1.1.243	336.4338567979699	50.25519190594481	0.28343562605712896	147.37818173087425	223.32122747748616	544.2449905433883	9.626878068378655	0.0	0.1429866247722845	382.29823760914996	0.9134775640822156	162.83565854182453	1010.795655865742	14.393457357021989
EC:1.1.1.244	0.0005602352826316163	5.1946261752260356e-05	0.0009691622153645545	0.006900407207019637	0.0031841091669169473	0.0051265985540449015	0.0008441560174812831	0.0	0.0004889196039310741	0.0016348713894882936	0.0031234859126670934	0.00019031536878055298	0.0018775854832459539	0.0002681769147922929
EC:1.1.1.25	78532.32667803433	22768.18029902592	20515.146374880947	90759.50617742642	41802.67190529438	104240.53077639248	8450.97203129772	1209.0616663014634	132337.01182819495	116049.59538767808	33253.0214523483	7428.790965402354	16113.261514346468	2011.6517551511008
EC:1.1.1.251	179.0705393242355	10.045462234832137	53.98840282519415	163.7484698395957	176.92047809055313	418.64059617756385	174.67592353595882	14.857195445776837	363.1661715109688	280.3649748524558	125.33708395101577	147.41815328271213	109.24836443421887	33.69351028829605
EC:1.1.1.252	0.5237762861399582	2.4768560972175075e-05	0.0010847349068012265	0.005308442759955587	0.0018403390598589527	0.0037756653694817673	0.9217400683371697	0.0	0.9479239067130841	1.215688457212201	0.7629280111616827	0.0022379815888035498	0.002419633527702163	0.0045422858738172036
EC:1.1.1.26	578.8940872196429	65.02336419336507	180.8171181377731	1327.4590258969015	274.84944962761995	359.9432442761237	220.76788387882974	2.448787292253279	16061.914654891765	374.257473424727	1450.9752853825435	296.8835686869262	761.0386000233133	90.81972828509419
EC:1.1.1.261	10969.65208110774	2667.4330613325697	6287.0150392094365	26113.50340138286	5924.035628403532	8169.483106112661	4239.909054660223	172.76922765990426	24227.92879905711	18464.06710916888	7557.536232378499	1239.9931102555554	1595.8172601532767	149.16921151806173
EC:1.1.1.262	37697.33985825109	14929.033224059373	6276.539328874722	43564.06754972568	6086.222945457057	7609.709765861915	2630.8002760147047	359.4765292186297	134884.64252099607	65190.06546884035	16025.81987150479	4240.369738099825	7287.493823496289	1115.190860031118
EC:1.1.1.264	385.9998004735372	56.548011386342765	206.2631395386139	665.983670693379	566.2081951149476	398.52865813294164	186.91052365007295	28.956145560322142	2141.5187109915923	1550.3940655324311	880.1654772845478	192.6211192966194	772.4737268268273	46.607126097337854
EC:1.1.1.267	65851.34773594158	20245.969502671374	16553.55107631633	71019.60072088742	25879.932513650845	56053.44341712898	6972.633666912658	960.879232660604	116083.85605566834	106982.91049750641	27420.9067935807	6762.265417131922	12488.93342396019	1556.0413157095475
EC:1.1.1.27	46316.80276327909	10904.76891325219	36139.0233810872	57660.529049884084	39477.73446128005	100493.8692277546	12037.802593796936	3045.4330790217896	58764.3362094137	70335.14869308485	26008.689617702425	4005.999371528407	13030.211843230587	1707.1822989245165
EC:1.1.1.271	34731.52519995989	14402.04973009828	4870.161873044536	28246.087084041123	3055.4688709398606	5523.522101674198	827.1352912629329	447.7936807345297	81170.625646866	44629.70562572176	4964.8555247154945	3118.671653902862	2225.0902942279963	319.89802801185533
EC:1.1.1.275	253.40539431138305	37.85971692450675	0.0	109.53997715259358	167.58802641005286	400.923023284773	7.068553836621683	0.0	0.0	287.73083431757897	0.0	122.66729142060527	932.918646194358	12.933040068227225
EC:1.1.1.276	4.363700791239567	0.04258517417000563	7.173748808798308	33.19708502156649	9.241485235216766	34.912121603961324	23.12598450975357	0.5826330581357736	8.789145592610419	412.6159641328238	19.158824221158063	31.07228867784363	5.006162600968636	0.31572530880119476
EC:1.1.1.28	29292.81045850884	9287.878443027632	18084.364844762542	31538.520163547186	19573.146215730965	54348.008065246046	5420.573463470724	1656.5782226297224	31216.359271240042	30953.53737324824	11679.201866841831	1809.988315350946	4117.273620065531	492.99443333965905
EC:1.1.1.281	8201.287617268757	1589.090187341536	2644.8529730725522	8946.192777290466	1714.8172679393772	3109.6568764979475	948.366416896222	83.873454969694	6108.692524960439	4722.03225587002	2076.721746390531	357.7877883438272	2909.7279595917416	507.4337903265599
EC:1.1.1.282	67.89	3.0	25.7	68.1	91.66	177.11	94.66	8.14	47.97	104.3	68.1	80.74	58.89	18.42
EC:1.1.1.284	3544.8210554906655	662.5749566954778	2031.7032785229271	3183.5210688070856	2286.5841044806857	2890.2689727210795	794.6442095399933	74.09375711283529	924.8401522765794	7132.186780127647	2898.473196980782	786.941090268441	2578.8577452721042	192.84604373185945
EC:1.1.1.287	4588.4702522265625	877.0484440572604	820.1640225376392	2269.8677535648117	1379.1473677372292	1099.5425533909142	789.187782330388	53.026495626777056	386.4864466053166	4171.589815107258	1995.4046697459669	342.04430454191186	372.70036082220923	30.738122734459132
EC:1.1.1.289	1937.2927061670064	298.3827497221321	206.76990511553242	356.2185399626359	165.91655771289788	152.47545662996382	67.08748902891706	11.183974335062091	200.1810334683945	569.4964507365752	348.08702980532007	74.22460896745856	19.316943641760417	0.22918294244231407
EC:1.1.1.29	46517.932649654926	15151.867206653029	11542.871465926326	48442.88749627619	18674.85221611695	46219.560929618165	3494.6616730449487	680.426121012613	137148.7562330509	78695.82685716644	25490.06086363775	4512.568782621059	11744.34227355249	1461.2751148571904
EC:1.1.1.290	24398.398033186983	9353.708394218324	2147.754453436956	10654.114711129321	370.8818257916514	648.0312218634408	158.20775134208236	148.75509840888628	52121.553745142766	35605.557057689046	1283.4340100034947	2226.408110880304	846.9582502618163	94.1897725088549
