	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
K00001	46919.46043092929	17847.92671644565	36591.17121644526	39800.97898374811	8890.24177076875	12291.736147260011	8920.039413192339	3046.970774730356	79949.9692561773	75831.61991908748	12888.050248043273	4876.571248929196	7686.511525905362	926.8222832029728
K00002	1429.9141825653976	365.7842622713073	557.0342758122051	2422.217819855233	732.0378426009675	827.570068984409	568.339251946531	13.398824097122114	3406.262216724455	3049.898791875091	1588.3540229770308	181.4236224450097	438.2779243086107	45.597154000207325
K00003	44162.85683155281	10277.499631111521	26266.241816732196	68869.22074589302	48055.324319059044	127903.90537755487	10215.543299090772	1918.1088144660303	47520.84125679657	78378.6795513294	28563.228954317026	4976.466256426655	14292.140575541833	1712.2507936539832
K00004	7971.618178640847	2617.7901909131424	4042.3500065714147	15358.318377641208	8237.622224262715	7578.758990796151	5063.448060356782	208.18517078632124	8265.957345860648	28197.99216704999	10217.576231692046	1630.2434331656618	2854.7765320316175	125.51497201149911
K00005	32388.389455132066	5511.746806404331	9505.264697292962	38347.017466058394	25478.449604066205	66760.79485083558	4689.361106134037	326.8443677144479	25195.856181014333	39513.2572043811	16095.673669540243	2403.549430699938	5590.465777938423	757.2234132194943
K00007	3.500955793615592	7.827930726009465e-05	0.0013654257276272531	31.259361129045942	30.00450868376397	74.25735195250485	228.50141620678954	2.5554609536353353e-05	24.871062235200572	167.2524946607675	153.0043543562429	76.75050576048304	38.25267384853253	33.67041332892708
K00008	85246.75673617418	22030.292939246305	22088.791199907	114083.53795541069	34623.202613033565	42853.43449791962	18809.408093131227	1239.0875875225763	132432.14999814454	114562.98324933488	48656.900841670344	8065.760801142727	19278.631554842872	2197.8678394258022
K00009	9958.97059909617	2470.890808706767	14335.277456768068	14331.365336691826	12271.990303804292	33404.35705661187	4724.838003593631	1169.8172128917865	8727.245598900388	18139.94172944727	5150.1637463916595	840.9112076259469	572.9132365589132	55.514127766436005
K00010	20703.69969542478	5341.778030892001	7140.933115480991	24465.233179048675	17161.685296846386	11547.959107275372	6270.8417281868715	641.0000877897655	33526.211147941096	61212.64310208774	30431.62049842893	3401.6598822528176	10677.866561349521	831.5133096182967
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.27633969554154	50.23564502694587	0.0	0.0	0.0	0.08139111407369513
K00012	55754.111681718336	22208.807905565736	36355.357549217515	58668.30429727122	19320.48162782409	47252.170549560775	7736.989471576399	2907.059712078105	160764.87964355183	81482.20256220498	18415.08452246651	5869.663658648713	13232.544749915865	1566.2648222361054
K00013	67144.05448507374	18194.664361380062	15077.655313955325	68261.7658117814	25068.01895625906	53963.05605846716	6852.310400494247	901.4465829511521	99615.73672221863	101092.00073082496	27206.901921008117	6564.13347244304	12585.283080293648	1549.0413719080693
K00014	78524.97905680296	22767.950331263564	20505.07497591896	90710.21907090189	41785.584975777354	104193.84421423692	8398.616027382584	1209.0616663014634	132334.84733543714	115989.1966044414	33143.50591388221	7408.01205867676	16090.796030432848	2009.457174836054
K00015	578.8940872196429	65.02336419336507	180.8171181377731	1327.4590258969015	274.84944962761995	359.9432442761237	220.76788387882974	2.448787292253279	16061.914654891765	374.257473424727	1450.9752853825435	296.8835686869262	761.0386000233133	90.81972828509419
K00016	46316.80276327909	10904.76891325219	36139.0233810872	57660.529049884084	39477.73446128005	100493.8692277546	12037.802593796936	3045.4330790217896	58764.3362094137	70335.14869308485	26008.689617702425	4005.999371528407	13030.211843230587	1707.1822989245165
K00018	46517.932649654926	15151.867206653029	11542.871465926326	48442.88749627619	18674.85221611695	46219.560929618165	3494.6616730449487	680.426121012613	137148.7562330509	78695.82685716644	25490.06086363775	4512.568782621059	11744.34227355249	1461.2751148571904
K00019	1710.9012141687094	411.78483958457497	263.928747875314	1389.261053265408	602.5678035878675	1188.1482317007656	537.6393348713049	9.07191098124758	820.2645253158967	2331.8041761870845	885.8197111286843	428.3910508130473	1706.4475676644427	88.09713122230599
K00020	10547.610879165084	2179.220756447893	2194.8824260337096	19091.704770310436	15424.319101184112	41435.03651649394	2718.7419260602305	152.28498792611953	38996.422676148606	23368.691727039215	11601.116830535015	1582.6873256626259	8801.943509660749	1241.444766807544
K00021	0.8535882311478207	0.021540528770137183	1.298971091552648	3.558161058786933	2.8757532446903595	2.615397977052106	1.624588080637725	0.0	9.433303103484583	57.190018259525004	7.5621813565256435	6.182903225765856	1.247763487348087	1.2110803000835217
K00022	0.0609937151997087	0.00565547296507969	0.10551424727944891	0.7512584176597171	0.3466590800555083	0.5581410201082655	0.09190462170200368	0.0	0.053229462695828	0.17799107448248674	0.3400589289782215	0.02071993992774185	0.2044157477734483	0.029196851521279998
K00023	259.73662033834967	32.44361761088114	100.58494915628059	936.7318581911691	151.09752821979805	283.4090444710299	340.1493722765992	2.1219912646566708	4704.839618496964	1819.7670319268532	685.9390006966051	358.24731821042747	304.34669242502974	61.74857815575247
K00024	51325.60153831234	20697.995080630142	4790.055348742808	27412.64433944419	1219.7230066098184	2572.159341089296	740.3003901738003	321.13408878991413	106214.58992310906	74820.91987869186	3481.437519809547	5097.393398194392	3759.538089560039	369.29718119850247
K00027	45283.918755672414	11646.350064219074	25518.54996670368	62435.73953973267	27589.68590218698	60864.72423276883	9229.148875439452	1933.5950353609164	70887.64318186053	67932.7845530861	26856.567652237074	4826.704859429723	13283.389188373212	1484.2811155013626
K00028	1.359994582651849e-11	1.2610172326212173e-12	2.3526818168525474e-11	1.675102713195098e-10	7.729558190690677e-11	1.2445032430269796e-10	2.0492240426106828e-11	0.0	22.0535756023907	31.096043958746975	7.582392705191008e-11	4.619985184102233e-12	4.5579172980422574e-11	6.510106782218222e-12
K00029	32769.19991343029	14031.929405307868	3294.7734840332364	20693.124801265447	727.7452986138704	1526.6448448090841	798.8959475885997	237.2143185720397	79420.84828230158	50966.26020063132	2281.0062229684745	3317.7977708707836	2265.286462631793	387.059307741804
K00030	5827.501255091449	1593.6910634034875	3159.5434464274476	7616.632404980024	5966.563810632103	6669.008762371884	2298.7125241015847	189.78939937864976	25784.400816023794	19428.522327680377	5930.945493218415	1176.3850777887315	3799.292844091366	559.9040026492858
K00031	33500.46369668977	7771.620179272302	10037.644606929396	51254.96904137011	18815.55683208644	47258.392049254784	4759.34026753223	533.7180314097275	58628.66216999393	48147.752066656954	19165.136175179243	3494.5064092672856	7948.25794986497	965.9246813826522
