	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
1CMET2-PWY	64825.50783469168	21275.329466247145	24773.1486595667	68780.50916722041	24744.058821112674	59656.0994214107	6949.322094679144	1626.3403788158212	115428.90282899923	93230.58462869568	22530.257533753113	6010.108841162956	9980.772444699081	1237.619282555538
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	29.10350884810545	0.33705171142256357	3.7071638287497892	208.9569562964658	129.75582837501645	315.5882404720946	486.2755432157053	0.17428136398312882	261.0289787152021	1012.833769858834	636.2942230033933	273.68098538771966	228.0164225963567	94.6625305841757
AEROBACTINSYN-PWY	57.80217683257049	2.4866416240979885	21.458032053838345	62.415221915750486	79.27165194461563	152.84603700385205	83.52686335164091	6.722286893383729	48.849230448715346	100.83572268879395	64.13109279065583	68.02600577972291	53.989138517035556	17.0121881443319
ALL-CHORISMATE-PWY	1157.0174134069014	64.05524158045198	414.43689801430156	1475.403530595228	734.7825795019912	1424.9583881036845	522.5248935817782	40.02044160486443	735.5084520978753	1563.191703535984	914.6303816009652	674.8105079442902	1004.0152798645029	189.40170152034491
ANAEROFRUCAT-PWY	65506.96476670035	20572.439202198282	26080.357969697143	60004.143023131786	21418.965086106007	52548.617571007555	9289.971757603384	1720.6630881520712	102557.21419073366	92547.63111952589	22137.592304303907	6210.505099414857	11838.964506144468	1119.2076860310951
ANAGLYCOLYSIS-PWY	88397.63780370213	27552.496330602607	33477.13151387611	97951.25836774422	42421.70822490075	95871.02361456938	12825.375935779639	2504.302587991398	153540.80001688172	136585.9175511194	37459.503905479185	8814.92758934833	17156.57295596853	2110.5284798591515
ARG+POLYAMINE-SYN	23227.449107784953	5418.71713116483	8129.685420060362	22984.67643776271	11545.684714165613	16088.178839758551	4747.45457929589	451.9023553038171	14111.148125771137	41604.478183225256	12505.928671882297	2680.206263861348	3573.4632842405945	436.9800672704116
ARGDEG-PWY	50.77922416541158	2.2468805814095583	20.900623845982157	64.67523816066131	82.48749859177813	137.37489607901762	82.92444174951987	5.579355769483252	83.71465122085891	97.21252417645836	81.91059546605798	103.6111178317262	50.648207089862545	13.827250883881813
ARGORNPROST-PWY	11178.630631794997	2476.5670707659815	3823.1560013683093	10938.19698187974	5321.182705910769	9572.021834705207	1128.7166785924517	150.83520013818617	27022.87341905676	15785.655241355125	5104.789514700321	1261.314090807278	3096.106069363527	159.22177743696452
ARGSYN-PWY	55921.63500150132	14266.46926510823	18750.937136748635	66714.7265723584	25629.014639544625	56307.37144279527	7271.971465463145	1184.1324031145346	83218.4095252646	86874.9009466861	26302.517041648243	5616.4483497717465	11299.98523212142	1239.9953635300485
ARGSYNBSUB-PWY	53730.18942585116	12382.380525554949	17943.537529475645	67357.4059207161	25901.08328133291	57610.04415897172	6866.606739721432	1134.5549374862505	71915.30783636446	83004.83714176994	26258.116693158783	5573.68897224626	11604.752337463573	1270.1077733053637
ARO-PWY	68794.33395218443	19508.810417320816	17895.714659653768	78209.92523078129	29832.256739826535	67505.50057730151	7659.73692480264	1026.4088829054292	107945.69833044916	105486.44990742566	28290.603574922778	7029.544195796524	14016.53141732116	1719.3989933016394
ASPASN-PWY	61037.1320372604	20572.002130250636	20882.97040289364	50641.30922574469	22496.292522207572	58456.5734616872	5618.606991161763	1403.4986379378938	120777.82938172467	87083.38192046029	19227.714946864988	5628.617715121555	10656.314711631483	1235.6439670613502
AST-PWY	79.31969188138561	3.305691562534606	28.579433430082606	128.256786584772	175.08946343643893	285.2917809715649	199.94381802578573	8.94922128257805	100.39101135458142	229.19399354364873	179.64328444963772	136.44704061767197	109.8792665228592	49.42471388065007
BIOTIN-BIOSYNTHESIS-PWY	39353.119164004354	14478.15173697229	4892.638862185349	21679.112010682686	2052.826638036815	3053.1774717094668	1514.3176418963867	319.8158989424606	88568.560987965	63954.27741894592	5714.512383703554	3979.2065343208446	2455.8378779638265	349.36214393127455
BRANCHED-CHAIN-AA-SYN-PWY	79690.47391737533	23242.111821590417	22873.753151063243	91103.01139334474	34270.129985779036	77119.23717257573	9456.12101668175	1345.1694196539083	135523.09496552337	122627.16405211788	33912.01838837082	8070.384010991203	16858.903302118986	2060.5725193017033
CALVIN-PWY	83515.75842954562	26236.389970819997	27120.24770891545	92981.61654891574	31090.427762915133	59550.889801150086	10978.152909099425	1621.3905235827956	174354.54726957792	119533.32547963997	38846.38263514548	8206.132599394923	18402.43460319489	2300.3435860197164
