	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
K00001	1121.5778082123707	5710.487728445426	2755.5346271746653	4241.527510270347	1088.680980742485	12857.313889229441	4877.804348681232	7680.321261656583	929.4020176559629
K00002	106.08555989129235	343.98706892397587	335.3238459999652	106.11764993436361	39.393136675720626	1587.5031189619128	181.42736760265228	438.27795626722803	45.60796721701141
K00003	13629.618929324684	7645.853739387434	6661.79731083006	103639.53299473459	1120.3720573323078	28426.13411029232	4978.478414106965	14311.539280876772	1714.4533142459336
K00004	1079.1791708877881	2752.629421584207	3020.619659453977	1828.308632163195	336.44131379117346	10120.273959740884	1630.26212769936	2855.046282524805	125.61632993572663
K00005	7246.917069906752	2532.074833253065	3441.5806477133447	53876.84552638692	753.2292303490563	15954.728515435809	2401.9852032957833	5606.417946809199	759.299863852541
K00006	0.0	0.0	0.0	0.0	1.0049005959475341	0.0	0.0	0.0	0.0
K00007	30.330582557526835	658.5005802388481	50.67101129456911	327.0039583914645	0.00028640415031591415	153.0043486742025	76.7505057600246	38.2526738440096	33.67041332828107
K00008	4016.6833888837136	12117.549949933631	10168.944264061683	8676.999560726264	2166.8737967827824	48413.949407407694	8063.639368972321	19278.68563066229	2203.022220773116
K00009	3767.444377828476	1302.1331048317834	1035.0031527582635	27605.291957295394	337.12905246033574	5138.596224784993	841.0132535806711	572.9136246732835	56.19647000338779
K00010	1370.245759847353	8653.626189932684	5395.94305385906	3373.338324620645	594.0816766377274	30387.891889689232	3401.6798378030326	10679.471526954625	831.7630426300284
K00011	0.0	0.0	0.0	0.0	1.622277750315916e-05	0.0	0.0	0.0	0.08139126744173283
K00012	4456.820616591369	6206.950361370587	5957.412391836146	32154.285888534127	1228.586115329031	18297.047229501062	5860.244919543831	13230.13693166264	1569.2165904981573
K00013	5511.196386664777	6608.843215655763	6442.762301599258	37749.198746576214	1565.6815266140165	27027.266648147604	6559.471553843141	12583.180560866032	1552.55843318241
K00014	10668.988257710134	9158.970594688537	7286.6345740986835	78291.4775440425	1684.1131343252073	32975.2219630295	7389.097158452136	16088.76226769273	2014.8908076778453
K00015	69.97386479919665	778.9833489990696	138.1441611381125	643.3125718426704	62.91067230048907	1450.1155383217388	297.0801297228719	761.0368859265247	91.22253510540031
K00016	10019.113169392134	5844.905123229293	5774.087910403666	70887.24258859092	897.1405903165444	26060.20731001108	4067.509572995962	13144.688881404176	1710.0035801886506
K00018	4687.514233150316	4641.423825711723	4592.194127820232	35562.33207263305	1161.5437850338246	25407.215229939982	4514.681941331462	11742.738952984426	1466.6343719658482
K00019	143.98194483998273	1320.0947280503403	221.23783487284015	946.5340240897941	109.79648990487088	869.261586929348	428.8975031927532	1706.4473761188792	88.09714178027077
K00020	4720.529511833316	4706.076547683522	2160.1737029054784	36847.698962037175	286.51356591042315	11599.642578246143	1583.0043255902324	8802.11260561867	1243.2519059806386
K00021	0.38160387274286306	2.496919663888097	0.9838083511941644	3.292185058929821	0.8584685629678745	7.560375230691893	6.187393460597846	1.2477631576871213	1.211080285098208
K00022	0.03956305417593636	0.04097377116660968	0.06406166620146844	0.3070954549071966	0.0	0.3395923284423497	0.02071990580051427	0.20441541108604627	0.02919680343197087
K00023	66.85737223992454	1204.2494770656335	127.2194763873713	782.5110318698321	164.3539098325225	685.9296116375459	358.29627054761886	304.34688296814073	62.04043793204388
K00024	227.21014192659476	2980.1538682843284	727.6813920756863	1923.33983983623	1123.2162057079995	3481.2752857121736	5102.596591437252	3754.5381428307746	372.9371879509255
K00027	5965.559397913855	5648.769620615251	6030.047444433364	38379.43856623174	1086.630747248998	26753.995199514866	4838.530847146194	13318.622198788282	1489.0397359673789
K00028	8.821487588753623e-12	9.136039199686571e-12	1.428401333218749e-11	6.84739538049672e-11	0.0	7.571987484252987e-11	4.619976785577747e-12	4.557909012349012e-11	6.5100949477016514e-12
K00029	116.4788409227692	3178.2993001823834	604.148931847276	2223.6757795711274	801.1492149365569	2281.002530156327	3320.5923943827083	2262.104424652452	389.37602442445313
K00030	594.0322311842309	1993.7882000886027	1492.1378698950139	1504.5483278202948	181.13298550805928	5931.013975127616	1167.759369595889	3799.697937367925	560.3290700945608
K00031	4936.3564594191985	4727.046926100945	4799.68788155983	36745.97867122009	855.007391742626	19032.238337605937	3497.2464166809114	7948.255420856287	967.6390045412998
K00032	3.7473784175904857e-11	103.01000000003881	3.280000000060679	35.82910176634647	0.0	24.590004010923302	1.962571632262448e-11	12.840000000193621	11.750000012098287
K00033	909.0583593949743	3293.2247663277053	1948.9217017775509	2917.891380705345	521.12387020385	7200.58212061529	2924.349126161212	4332.0369297532325	326.81511817101887
K00034	591.9740565476955	2045.7073696286177	1810.7910423901983	1207.119760193209	297.38022500019775	6516.06447800137	1161.1942871345711	2256.488749728052	187.9405412217971
