Unnamed: 0	description	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710	HSD-NC	HSD-NR	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	5722.284860429195	5809.304023477557	5259.147255765506	39588.76565730111	1404.8811572879151	22388.629855955434	6011.214014492291	9994.108333859178	1242.647113966551	57784.38295426129	39636.59931827345	97420.98227253476
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	95.25716807120908	1388.5328398635263	230.5034529507957	704.5626568093612	0.9376568650697038	629.5475930039455	273.68780527722595	228.01588434656907	94.89075687964592	2419.793774559962	1226.1420395073865	3645.935814067349
AEROBACTINSYN-PWY	aerobactin biosynthesis	26.709014349086388	26.73953760394847	61.45017222162797	78.61834368935251	12.770302293569044	64.13083007435935	68.02811516648225	53.9891385481771	17.012188148404775	206.2873701575844	203.1602719374235	409.4476420950079
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	235.2705164211835	335.68959080814415	486.21542537623327	1229.907297691567	133.97473773542217	914.5572620624756	674.9109380290101	1004.1833709707048	189.7257488074876	2421.0575680325496	2783.377319869678	5204.434887902227
ANAEROFRUCAT-PWY	homolactic fermentation	3764.611736672371	6591.798801564129	5123.541144777646	14723.608901509002	1315.3954727948217	22080.995993503224	6231.847253810664	11886.473972163878	1123.440530418181	31518.95605731797	41322.75774989594	72841.7138072139
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	9444.408461142652	9719.188323747696	8276.196601275426	60583.03333816861	2051.148823884816	37300.91359605263	8815.320844044394	17175.690928670574	2116.6797482014013	90073.9755482192	65408.605116969	155482.5806651882
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	1514.0278855568345	3919.177136265866	3221.331060861525	5635.031215945963	559.7253891716787	12409.319424099724	2674.0303081386346	3574.1725415799165	437.6698621320979	14849.292687801868	19095.19213595037	33944.48482375224
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	26.003696738365964	29.615938420423063	57.841393002012914	219.3835198031341	11.235179381964317	81.89668841334404	103.65230741008617	50.64856556462666	13.827650775862168	344.0797273459004	250.02521216391904	594.1049395098194
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	701.8219025471175	1472.594076751254	2049.5521868386536	1892.5268659542648	215.93071279293943	4969.734327379054	1269.3214235071264	3118.5818790016697	159.80470925052848	6332.42574488423	9517.442339138375	15849.868084022608
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	5617.770625586006	6649.398399849353	6270.820626921123	38881.58009882858	1293.9580958860977	26146.84748554473	5614.782638758443	11312.476228001717	1243.5964560984796	58713.52784707116	44317.70280840337	103031.23065547452
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	5731.336768562216	6751.029249995172	6379.697273356303	40261.4243110048	1273.461227211788	26092.262790680103	5573.14863489317	11615.664081404871	1273.4696461545263	60396.94883013028	44554.54515313267	104951.49398326296
ARO-PWY	chorismate biosynthesis I	6682.262715032008	7431.03265307726	6924.901345302229	46449.57137059568	1604.1208412490685	28108.127250694943	7015.91934041897	14014.497931713113	1724.2870352626023	69091.88892525624	50862.83155808963	119954.72048334588
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	5745.346270784178	4854.992220428277	3886.387172894853	41368.578076712605	1252.7866597088264	19137.94862498713	5626.032254556356	10666.28564147121	1240.9914782706742	57108.090400528745	36671.25799928537	93779.34839981412
AST-PWY	L-arginine degradation II (AST pathway)	57.13108570899433	255.20163664872348	102.82946244693817	341.7782679827793	75.57544734987253	179.64266566506288	136.45338506388845	109.87926784119156	49.42471407180002	832.5159001373079	475.4000326419429	1307.9159327792509
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	385.65430554304015	3889.660593606163	1129.173757792068	3045.293864241563	885.1121137276624	5709.904662827878	3978.787289010115	2451.4654994694024	352.8249940719182	9334.894634910495	12492.982445379314	21827.877080289807
