	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
1CMET2-PWY	5722.284860429195	5809.304023477557	5259.147255765506	39588.76565730111	1404.8811572879151	22388.629855955434	6011.214014492291	9994.108333859178	1242.647113966551
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	95.25716807120908	1388.5328398635265	230.50345295079572	704.5626568093612	0.9376568650697038	629.5475930039455	273.68780527722595	228.01588434656907	94.89075687964593
AEROBACTINSYN-PWY	26.709014349086388	26.73953760394847	61.45017222162797	78.61834368935251	12.770302293569044	64.13083007435935	68.02811516648225	53.9891385481771	17.012188148404775
ALL-CHORISMATE-PWY	235.2705164211835	335.68959080814415	486.21542537623327	1229.907297691567	133.97473773542217	914.5572620624755	674.9109380290101	1004.1833709707049	189.72574880748758
ANAEROFRUCAT-PWY	3764.611736672371	6591.798801564129	5123.541144777646	14723.608901509002	1315.3954727948217	22080.995993503224	6231.8472538106635	11886.473972163878	1123.440530418181
ANAGLYCOLYSIS-PWY	9444.408461142652	9719.188323747696	8276.196601275426	60583.03333816861	2051.148823884816	37300.91359605263	8815.320844044394	17175.690928670574	2116.6797482014013
ARG+POLYAMINE-SYN	1514.0278855568345	3919.177136265866	3221.331060861525	5635.031215945963	559.7253891716787	12409.319424099725	2674.0303081386346	3574.1725415799165	437.6698621320979
ARGDEG-PWY	26.003696738365964	29.615938420423063	57.841393002012914	219.3835198031341	11.235179381964317	81.89668841334404	103.65230741008615	50.64856556462666	13.827650775862168
ARGORNPROST-PWY	701.8219025471175	1472.5940767512539	2049.5521868386536	1892.5268659542648	215.93071279293943	4969.734327379054	1269.3214235071264	3118.5818790016697	159.80470925052848
ARGSYN-PWY	5617.770625586006	6649.398399849353	6270.820626921123	38881.58009882858	1293.9580958860977	26146.847485544735	5614.782638758443	11312.476228001715	1243.5964560984796
ARGSYNBSUB-PWY	5731.336768562216	6751.029249995172	6379.697273356303	40261.4243110048	1273.461227211788	26092.262790680106	5573.14863489317	11615.664081404871	1273.4696461545263
ARO-PWY	6682.262715032008	7431.03265307726	6924.901345302229	46449.57137059568	1604.1208412490685	28108.127250694946	7015.91934041897	14014.497931713113	1724.2870352626023
ASPASN-PWY	5745.346270784178	4854.992220428277	3886.387172894853	41368.578076712605	1252.7866597088264	19137.94862498713	5626.032254556356	10666.28564147121	1240.9914782706742
AST-PWY	57.13108570899433	255.20163664872348	102.82946244693815	341.7782679827793	75.57544734987253	179.64266566506288	136.45338506388845	109.87926784119156	49.42471407180002
BIOTIN-BIOSYNTHESIS-PWY	385.65430554304015	3889.660593606163	1129.173757792068	3045.293864241563	885.1121137276624	5709.904662827878	3978.787289010115	2451.4654994694024	352.8249940719182
BRANCHED-CHAIN-AA-SYN-PWY	7878.490781796122	9113.312220135333	8203.01994858174	54158.96718170484	1864.4749375577126	33712.03207462192	8063.710505558597	16856.96342952562	2066.3235133242915
CALVIN-PWY	5084.224961678229	9693.688514046517	8006.753471782348	21317.308945139404	1939.59648029241	38696.376667408054	8195.117947559214	18430.71413976823	2307.159770464606
CATECHOL-ORTHO-CLEAVAGE-PWY	91.77378940878256	1188.7113858695777	103.40854725415419	763.0393939510202	0.34717845649032336	350.059678002244	168.93686235132282	513.7207731043076	81.43596104398999
CENTBENZCOA-PWY	0.469246896109655	0.48616123622803253	0.7620772810962309	12.36717043611415	2.1357221013770684	4.372757703781217	0.24612831361445656	2.5710850690816596	0.3398722850424812
CENTFERM-PWY	1287.9761190582026	2392.8756864884926	2620.359685704856	8215.605818806893	418.38151282524825	6381.292411319028	1736.8717733335602	2351.3261015181047	236.08476500984696
CHLOROPHYLL-SYN	21.099842750107	56.105886373283276	44.4823923620266	96.49661749950612	4.661232077439389	216.24347132627258	41.50988652913318	55.85868049070802	5.5681335542174155
COA-PWY	5908.310294350692	6366.428625861034	6458.547666837978	39421.402112333024	1477.8494148656175	24342.165556297557	6452.6382053350535	10777.597757872085	1341.2305106588042
COBALSYN-PWY	5240.389634822329	5080.573397947559	4805.508257003556	37254.6220962056	792.7543977574145	19112.642462525946	3582.0317501632867	14537.530559418687	1910.663533918297
CODH-PWY	95.24094551691384	306.68528385619544	371.4407636000354	545.79736911221	35.23835583778824	828.8452975886544	375.1536544252307	666.5719577708165	39.675164420133235
