	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
EC:1.1.1.1	7831.04709617355	12273.028755553576	11851.18866264624	43928.08530601796	2120.730138721608	43376.48979539007	9972.872307067239	22974.004719832323	2773.878777333031
EC:1.1.1.10	0.16595670684640554	0.5451496852931603	0.10603321973211255	8.640111951252182e-05	3.4879791945982665e-05	5.357422599977577	0.00017463609500334464	2.0022778696252455	0.4120469858217698
EC:1.1.1.100	13835.456176575874	25944.091530201902	25743.072851544704	83937.02352619925	3722.4609439903993	83429.81869172893	17287.55526396472	47460.18935675196	5572.559049067811
EC:1.1.1.101	6.711306395547594e-29	6.087338543473984e-29	1.0690927445395002e-28	5.173716049701988e-28	0.0	5.587538207114019e-28	3.432866610906652e-29	3.3944685892405835e-28	4.8373159903231727e-29
EC:1.1.1.102	0.49311194486369136	0.8601412786273743	2.924336555999743	11.56158488097911	0.08042715570072044	4.4428275400204456	0.5747650391107689	1.3544662287657732	1.1976864530323523
EC:1.1.1.103	370.05580230249427	1239.5155175078012	1215.3278699259743	1428.9977645062215	263.3340011541474	5641.962729268602	1111.187244657523	2182.879233203123	301.12695697096274
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.21036969958962415	0.0	0.0	0.0	0.0
EC:1.1.1.107	17.899136056774477	290.7918381830599	184.75086745591946	113.30641048881827	8.815656395461367	706.4229465610161	121.1822205594757	235.70709054984616	20.032447412069686
EC:1.1.1.108	41.46769638500415	188.30735873933847	175.00563629094117	140.8163577157174	44.09149393133551	793.5417479617652	197.17868279565002	177.28259698916187	28.374702755034324
EC:1.1.1.11	30.330594060315523	658.5005287084607	50.67101696970805	327.0040214276178	0.0002803451335585232	154.00432084217564	77.00050641949579	38.252680870439356	33.67041332856283
EC:1.1.1.116	0.0	0.0	0.0	0.0	2.818531564957741e-07	0.0	0.0	0.0	0.0
EC:1.1.1.122	148.69884861504096	263.1301742945879	166.66493193492366	290.8826800197312	89.16464627582255	558.5382569672888	228.99117022896596	625.6588951209349	29.90463145135849
EC:1.1.1.125	1178.9892888211525	3899.536652866354	4730.678168102223	2488.170309646917	481.13510092093696	14993.528088227864	2090.3411828051303	4497.841847972282	426.00170256094094
EC:1.1.1.130	250.07837355755174	736.9176643918779	1056.771679926336	507.63278796076753	112.38133799513332	6029.964080457567	433.6618460407794	4144.213092016027	681.7463369524528
EC:1.1.1.132	103.12065141799835	367.7515561475478	131.4791046801009	59.42486727791363	4.899780928164735	83.46636928295959	461.925408009592	1503.2775768355766	44.682391311600846
EC:1.1.1.133	5888.0389698188	6743.036067620864	5227.46554224018	44208.18165098132	1279.8684718418206	20442.882642936056	5582.043354521546	15516.392246803432	2208.3835876854705
EC:1.1.1.136	198.18617193448745	499.0738121725562	437.1535852645082	484.4466827823588	218.46982180727565	2481.927330688689	703.3320824146473	645.5196955356432	33.35649528068835
EC:1.1.1.137	3428.8845343328494	330.0405455797069	315.5234863417462	27093.567789117395	81.18180170283412	1052.3590004277812	491.17835742885006	130.14267023182214	4.785733485199179
EC:1.1.1.14	4002.593579796944	12086.087942921618	10238.316837860815	8640.009354127582	1936.7709111711167	48197.79093069687	8047.537615091849	19075.923101190347	2235.738766593561
