	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
K00001	1120.1840256658772	5693.796833429803	2785.7913933085174	4219.5374423581015	1076.1204862570014	12777.637826714954	4865.885167071267	7652.363247657391	935.905540707872
K00002	105.36565135884575	343.1745978049893	337.89705598093576	106.0699136167607	39.51707109828769	1570.7865255237211	177.68555070818613	437.48119224461686	47.56672570990574
K00003	13634.388958355214	7655.849255026997	6709.835278512081	103639.74167160483	1037.0199558935392	28507.71244782133	4930.276798279367	14133.832514701076	1735.9992209377258
K00004	1071.0500765572533	2745.1126192390734	3041.8178640670617	1828.7322804011894	326.06678897003076	10094.462139176081	1627.1162005622982	2839.8086210227575	127.64854643544882
K00005	7252.886336146774	2532.1879368224554	3456.169832269832	53853.33061981614	648.16256226964	16083.692719523657	2384.663091919102	5496.820377214467	765.0796731269957
K00006	0.0	0.0	0.0	0.0	1.0049005959475341	0.0	0.0	0.0	0.0
K00007	30.330594060315523	658.5005287084607	50.67101696970805	327.0040214276178	0.0002803451335585232	154.00432084217564	77.00050641949579	38.252680870439356	33.67041332856283
K00008	4002.593579796944	12086.087942921618	10238.316837860815	8640.009354127582	1936.7709111711167	48197.79093069687	8047.537615091849	19075.923101190347	2235.738766593561
K00009	3764.3840737565956	1319.3773548420356	1044.1206403372373	27613.06994183237	303.3574034361777	5079.596245279874	836.7083241021546	560.4780269758305	56.9238542729908
K00010	1365.6707062615046	8656.291024647966	5417.060068717761	3376.7991543615694	568.1122538289369	30342.30258128394	3397.8028712467767	10646.837333997879	862.6331094363094
K00011	0.0	0.0	0.0	0.0	1.622277750315916e-05	0.0	0.0	0.0	0.08139126744173283
K00012	4457.347023698667	6210.78032786863	6001.635693241772	32148.755078994163	1177.946328678253	18386.240336756746	5821.62150993851	13091.159473892872	1577.56579972824
K00013	5513.643731222848	6611.029679374107	6491.173255006104	37719.316588129004	1494.5243632988527	27111.214439349133	6518.153643960731	12464.748426869026	1566.8479492996287
K00014	10671.077110673166	9158.24779917274	7336.127916095449	78276.54788306437	1595.73376818665	33061.82593948579	7339.0644265512765	15853.479004183493	2036.3549553206938
K00015	70.47814929766272	777.6565047261953	138.76139969791785	629.9222147187746	50.63887566927933	1446.590213087802	293.8330900166661	746.5175881997296	93.62059233572634
K00016	10028.501145215308	5839.003673744672	5790.763577457223	70889.06708112944	818.9728918859836	26082.232619848568	4039.985121339214	13008.800436032103	1727.9526640781414
K00018	4689.919445847606	4652.498241153104	4613.582882038857	35567.828673443124	1084.6942356287586	25459.709541815857	4518.672152985701	11591.037872045294	1489.8654420534872
K00019	144.11128316067462	1319.5168669256047	226.33086223825276	929.1959973779301	103.62094210529602	868.0557689263346	421.75285621953014	1706.2642232915898	88.09789686763352
K00020	4722.015499248805	4705.613973499581	2161.878222534451	36848.92091382399	252.56390840662868	11593.13050423496	1581.823331665502	8721.310334633697	1251.3006302898716
K00021	0.38520195456567397	2.4762914936925595	0.9855834031750969	3.333214787422916	0.8584685629678745	7.258090763978672	6.0878129952358595	1.2495381991245909	1.211080283971915
