Unnamed: 0	description	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	5728.205905242476	5814.569058768072	5284.101634153274	39565.21002364975	1332.111749782476	22488.252446377355	5983.221844135457	9834.12306286156	1256.1248649157317
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	95.28126145359386	1388.4270367688885	230.6232305687168	704.7021244086477	0.8880125757532397	632.743968911682	273.8625076832652	227.9837275806843	95.13274205953252
AEROBACTINSYN-PWY	aerobactin biosynthesis	26.710495018650057	26.738892780709214	61.45088888960241	78.76389940879959	11.176399619674896	64.32170864906122	68.15505127078826	54.35743743178921	17.012188144656953
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	235.42097129239824	334.11216944665733	488.0310958278477	1224.9806766350678	124.30837286585412	904.8694167317522	667.3736892266269	1006.5763561990038	190.05838975136808
ANAEROFRUCAT-PWY	homolactic fermentation	3785.1019558284775	6600.46326035579	5186.494113822326	14649.64073229591	1250.2037237043216	22121.43160871091	6196.5457163641495	11772.376921596746	1138.2226707053717
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	9446.466880824266	9718.751287002313	8334.9950423284	60554.70604998831	1940.215168001888	37334.25377988613	8764.151330014098	16984.128453555328	2136.7759003232227
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	1512.370791934724	3915.894859027834	3247.531936547972	5600.432622623013	538.1340791103917	12407.89270161008	2642.0860865745644	3565.789166934708	442.5834622825028
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	26.015984276294144	29.47608634914628	57.852320593729225	220.3950542615883	9.94848019239735	82.02606308974119	102.71142229535256	50.95418602051611	13.828451386958363
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	702.1649036217905	1474.328263333559	2051.763387186116	1898.607827673502	189.2411522622856	5121.845119453295	1276.0068993393822	3094.152066070594	160.76380867505486
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	5619.801020303578	6646.188400553008	6321.613497962563	38861.6958600797	1220.182447989332	26232.58392354435	5569.530713444782	11200.93027739811	1260.5701962686687
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	5734.43190741419	6747.160021876875	6436.805805017702	40239.419242952186	1196.8330989761878	26194.2963060142	5523.263080113381	11501.179451165008	1290.0797327129274
ARO-PWY	chorismate biosynthesis I	6683.784254075647	7430.89103401608	6976.839613408608	46425.09855980432	1516.17354629223	28192.124795464068	6968.838714745643	13849.922766949236	1742.0051479071694
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	5753.367578406003	4847.484678075707	3894.406009952889	41349.96713621655	1201.0969889536511	19242.55498726829	5606.405433655528	10543.967431506942	1255.8462571966238
AST-PWY	L-arginine degradation II (AST pathway)	57.13232322410743	255.18787786792032	102.8300762044499	332.5578148245696	73.28143755740476	180.02916043156262	136.84375441714454	110.36547333976772	49.42471397572513
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	385.9993229031801	3904.091820267448	1167.4193011817558	3008.4651057259657	872.2477682842663	5689.953822183417	3976.404887969392	2451.323109422855	354.1343818615796
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	7881.979529910499	9113.594878175289	8260.20237493355	54125.199755524045	1768.4112618366332	33800.446215413576	8018.0515982785455	16677.350884623636	2084.150269117995
CALVIN-PWY	Calvin-Benson-Bassham cycle	5087.736174810202	9686.168378048927	8078.275916584444	21224.193377300136	1801.083902854291	38709.94454037098	8153.425127976102	18212.722140045036	2329.2297656303267
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	91.78543803909044	1188.570382268788	103.41304164716134	765.6054978387721	0.3473475274769331	347.37563857574537	169.3812126008256	513.7190040557664	81.43626001692186
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	0.4804193558564529	0.4360636840728998	0.7676206583347063	3.660196484148572	2.141026727137098	4.1603221272549655	0.2461296056472538	2.5765290908794407	0.3398725631085934
CENTFERM-PWY	pyruvate fermentation to butanoate	1294.2735560279102	2416.725735596411	2630.1354381161163	8093.801407464543	364.5380335819724	6492.497093559347	1723.8873894091907	2288.4581751798746	239.677805739302
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	21.237354342595765	55.26722534362823	44.66368171812537	96.7847626694432	4.656267334009058	215.87730924699028	35.49188636320957	55.91528095799047	5.574177202603432
COA-PWY	coenzyme A biosynthesis I	5912.669399169648	6367.70793971809	6505.961735885301	39395.08406452304	1410.8929571893336	24453.01808998135	6418.402062255108	10657.69729655145	1351.6363911356457
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	5242.168186936517	5077.182290961467	4834.669429688592	37231.82711658136	734.7335208241686	19169.25162208897	3555.5202298193653	14418.541017576908	1926.1585150155213
CODH-PWY	reductive acetyl coenzyme A pathway	96.45206113586272	301.02151775458606	421.619814772641	552.4371339937165	35.199937020021395	787.3606358589636	366.1003202747211	666.9989766979774	39.68098410708068
COLANSYN-PWY	colanic acid building blocks biosynthesis	667.1193082532317	3561.1401043677265	3435.6838468769506	4650.919978717802	1040.51791420043	10990.409697239136	4737.70239414011	5497.585154609816	706.7545813526135
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	7165.794052846673	7683.467256454031	7315.006102753345	49958.03014560562	1568.0155529433755	29532.55393662492	7217.4642949853	14536.072484250346	1835.71632242325
